State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Indiana,0.046826,0.076878,0.080399,0.093833,0.0228261,0.0989295,0.0387374,0.0723306,0.01769,0.015514,0.005984,0.024507,0.905307,0.781463,0.777537,0.830228,
Iowa,0.012109,0.04918,0.024673,0.039938,0.0175234,0.0655723,0.0246756,0.0626245,0.009809,0.016392,0.011402,0.02356,0.961855,0.934414,0.948785,0.90223,
Kansas,,,,,,,,,,,,,,,,,
Kentucky,0.04461,0.084799,0.085047,0.081118,,,,,0.01135,0.011641,0.00514,0.016404,0.875698,0.848911,0.882243,0.868845,
Louisiana,0.230253,0.334626,0.386975,0.320741,,,,,0.018298,0.041167,0.007668,0.017151,0.656094,0.53459,0.598424,0.622472,
Maine,0.010317,0.05682,0.017065,0.013651,0.0088384,0.0219435,0.0127932,0.016853,0.00832,0.012604,0.005119,0.011138,0.965135,0.899143,0.959044,0.931784,2
Maryland,0.169123,0.332265,0.346986,0.301745,0.0406381,0.1864567,0.0921541,0.1062944,0.062003,0.026158,0.034942,0.063907,0.643693,0.400706,0.516191,0.545958,
Massachusetts,0.061022,0.079747,0.066347,0.070095,0.0520298,0.2834593,0.078571,0.123915,0.048833,0.035989,0.025833,0.067365,0.817567,0.492842,0.744566,0.704733,
Michigan,0.066606,0.141165,0.230558,0.133641,,,,,0.020823,0.019622,0.011311,0.03235,0.75356,0.715498,0.709183,0.749195,
Minnesota,,,,,,,,,,,,,,,,,
Mississippi,0.254953,0.37813,0.403194,0.377962,0.0108885,0.025125,0.0090588,0.0299686,0.01454,0.005436,0.002764,0.010101,0.685062,0.543839,0.552434,0.583318,
Missouri,0.055485,0.116117,0.139992,0.113192,0.0331628,0.0622168,0.0259067,0.0427405,0.014861,0.01184,0.00908,0.020722,0.846958,0.692266,0.676921,0.820775,
Montana,,,,,,,,,,,,,,,,,
Nebraska,0.025716,0.043501,0.038692,0.049119,0.0329748,0.2230677,0.1282869,0.1132744,0.014132,0.023889,0.020013,0.02427,0.904586,0.887196,0.905937,0.863287,
Nevada,0.052922,0.076,0.093075,0.092077,0.1289967,0.3580005,0.2380376,0.29322,0.126792,0.081001,0.117908,0.084979,0.628445,0.365003,0.541288,0.478193,
New Hampshire,,,,,,,,,,,,,,,,,
New Jersey,0.047059,0.109993,0.162341,0.124307,0.0588235,0.2539831,0.1882094,0.209542,0.070588,0.047521,0.051342,0.096146,0.658824,0.420417,0.559305,0.544699,
New Mexico,0.012938,0.014753,0.013558,0.017165,0.3647413,0.5478661,0.3945766,0.494869,0.021918,0.010509,0.007194,0.016121,0.453235,0.201681,0.297454,0.367383,
New York,0.081713,N/A,0.225991,0.15682,0.0936214,N/A,0.2347932,0.1930263,0.098262,N/A,0.070371,0.086539,0.807613,N/A,0.404717,0.634198,
North Carolina,0.157308,0.2059,0.247457,0.212968,0.026361,0.2133318,0.0829207,0.0974273,0.02451,0.019115,0.011218,0.029242,0.772878,0.620896,0.663941,0.682953,
North Dakota,,,,,,,,,,,,,,,,,3
Ohio,0.061183,0.132023,0.117943,0.123159,0.0164328,0.0473018,0.0207727,0.0398455,0.022214,0.017458,0.007163,0.023049,0.839948,0.748726,0.839808,0.811163,
Oklahoma,0.038652,0.069686,0.066501,0.068674,0.0416317,0.1385105,0.0602769,0.11095,0.024888,0.023676,0.014197,0.020613,0.848063,0.737052,0.792528,0.650189,2
Oregon,0.017034,0.029579,0.02422,0.018145,0.0503649,0.344302,0.1266913,0.1340228,0.042504,0.037838,0.03014,0.047205,0.79102,0.593573,0.793864,0.834144,
Pennsylvania,0.033931,0.136772,0.124593,0.109627,0.0218911,0.1916349,0.0405451,0.0775972,0.001598,0.027067,0.016692,0.03563,0.890881,0.816789,0.858672,0.799761,4
Rhode Island,0.038709,0.075037,0.049118,0.059286,0.0859463,0.2987316,0.0953743,0.166283,0.018341,0.022377,0.017644,0.033391,0.792186,0.567298,0.836433,0.705281,
South Carolina,0.147467,0.263129,0.317587,0.26387,0.0172898,0.0870158,0.0318266,0.0572295,,,,,0.692201,0.583163,0.624241,0.66824,
South Dakota,,,,,,,,,,,,,,,,,
Tennessee,0.087676,0.15443,0.177937,0.164989,0.0227182,0.0864364,0.0288259,0.0570572,0.012539,0.010433,0.00562,0.01846,0.789616,0.738478,0.780457,0.774735,
Texas,0.070953,0.188282,0.095744,0.116566,0.2253907,0.4125024,0.4637964,0.399506,0.074147,0.013928,0.020164,0.049838,0.510672,0.378995,0.415078,0.411405,
Utah,0.00598,0.014769,0.009901,0.010348,0.0482769,0.228579,0.1540154,0.144272,0.018004,0.02102,0.031903,0.023075,0.867288,0.704187,0.722772,0.777501,5
Vermont,0.006636,0.043216,0.010471,0.015158,0.0130711,0.0255446,0,0.0177982,0.011604,0.050855,0.026178,0.016293,0.972306,0.87741,0.947644,0.938065,
Virginia,0.133269,0.218212,0.239364,0.188531,0.0551158,0.1704402,0.0691922,0.096166,0.040358,0.043469,0.036926,0.067428,0.71069,0.517924,0.63946,0.612954,
Washington,0.023075,0.055263,0.031769,0.038079,0.0518453,0.3162781,0.1197896,0.129943,0.083161,0.062952,0.076083,0.089221,0.667869,0.485352,0.708215,0.675283,
West Virginia,0.023169,0.037491,0.02208,0.032687,,,,,,,,,0.964171,0.934932,0.960488,0.935594,2
Wisconsin,0.026154,0.070166,0.069503,0.062746,0.0212804,0.1194636,0.0576119,0.070758,0.016051,0.026801,0.018068,0.029955,0.94729,0.831038,0.883287,0.85553,
Wyoming,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,
"Vaccination data based on KFF analysis of publicly available data on state websites; Cases and deaths based on KFF analysis of The COVID Tracking Project, COVID Racial Data Tracker; total population data used to calculate rates based on KFF analysis of 2019 American Community Survey data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,
NR: Data not reported because state does not report vaccination data by race/ethnicity or state data has been excluded from vaccination rate analysis since the state reports data based total doses administered rather than people vaccinated. ,,,,,,,,,,,,,,,,,
NA: Data suppressed due to less than 10 observations or insufficient for total population comparison,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
"Persons of Hispanic origin may be of any race. States vary in whether they include or exclude Hispanic individuals in racial categories. States also vary in their racial/ethnic classifications. For example, some states report Asian and Pacific Islander people separately while others report them as a combined group.Total population data used to calculate rates is matched to each states’ racial classification for vaccination data. Rates may not match those reported on state websites due to differences in the source for total population data. States vary in whether they report total people who have received at least one vaccine dose, people who have received one dose and people who are fully vaccinated, or total vaccinations administered. Where possible, we report data for the total number of people who have received at least one vaccine dose. However, some states only report total vaccinations, meaning people who have received two doses are included in the data twice. Some states exclude vaccinations administered through the federal long-term care partnership from their data, which affects the demographic profile of people who have received vaccinations. Percent of Cases/Deaths Missing Race/Ethnicity Data is the share of total cases/deaths reported in a state for which race/ethnicity is not known. Some states do not update race/ethnicity information as frequently as the count of total cases/deaths for that state, which may increase the % of Cases/Deaths Missing Race/Ethnicity Data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,
1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.,,,,,,,,,,,,,,,,,
2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.,,,,,,,,,,,,,,,,,
3. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.,,,,,,,,,,,,,,,,,
4. Data does not include Philadelphia County due to differences in reporting data.,,,,,,,,,,,,,,,,,
5. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.,,,,,,,,,,,,,,,,,
