State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Kentucky,0.061,0.047,0.088,0.081,NR,NR,NR,NR,0.02,0.01,0.01,0.02,0.83,0.89,0.89,0.868845,
Louisiana,0.293,NR,0.39,0.321,0.068,NR,0.027,0.052,0.03,NR,0.01,0.02,0.6,NR,0.57,0.622472,
Maine,0.013,0.047,0.013,0.014,0.018,0.017,NA,0.017,0.01,0.01,NA,0.01,0.85,0.92,0.96,0.931784,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections; 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,0.252,NR,0.364,0.302,0.09,NR,0.088,0.106,0.08,NR,0.04,0.06,0.58,NR,0.51,0.545958,
Massachusetts,0.058,0.075,0.077,0.07,0.093,0.277,0.081,0.124,0.08,0.04,0.03,0.07,0.75,0.49,0.79,0.704733,
Michigan,0.094,0.102,0.224,0.134,0.042,0.077,0.037,0.053,0.04,0.02,0.01,0.03,0.76,0.75,0.72,0.749195,
Minnesota,0.048,0.079,0.051,0.064,0.042,0.103,0.029,0.056,0.06,0.04,0.04,0.05,0.84,0.73,0.86,0.790904,
Mississippi,0.361,0.551,0.409,0.378,0.026,0.04,0.009,0.03,0.02,0,0.01,0.01,0.58,0.4,0.56,0.583318,
Missouri,0.088,0.25,0.127,0.113,0.051,0.132,0.022,0.043,0.03,0.02,0.01,0.02,0.82,0.54,0.83,0.820775,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose."
Nevada,0.057,0.078,0.098,0.092,0.243,0.478,0.254,0.293,0.11,0.07,0.11,0.08,0.45,0.33,0.51,0.478193,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,0.076,NR,0.166,0.124,0.155,NR,0.205,0.21,0.12,NR,0.06,0.1,0.56,NR,0.56,0.544699,
New Mexico,0.017,0.011,0.012,0.017,0.386,0.614,0.391,0.495,0.03,0.01,0.01,0.02,0.44,0.17,0.28,0.367383,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,0.119,NR,0.205,0.157,0.178,NR,0.217,0.193,0.15,NR,0.08,0.09,0.72,NR,0.5,0.634198,
North Carolina,0.18,0.203,0.255,0.213,0.082,0.201,0.05,0.097,0.05,0.01,0.01,0.03,0.7,0.54,0.67,0.682953,
North Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,0.088,0.139,0.125,0.123,0.038,0.046,0.018,0.04,0.03,0.02,0.01,0.02,0.82,0.74,0.85,0.811163,
Oklahoma,0.058,0.065,0.069,0.07,0.105,0.141,0.062,0.111,0.04,0.02,0.01,0.02,0.81,0.64,0.73,0.724761,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,0.022,0.029,0.021,0.018,0.086,0.326,0.11,0.134,0.06,0.03,0.04,0.05,0.75,0.57,0.8,0.750262,
Pennsylvania,0.053,NR,0.126,0.11,0.058,NR,0.042,0.078,0.01,NR,0.02,0.04,0.83,NR,0.81,0.799761,10. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,0.046,NR,0.045,0.059,0.13,NR,0.082,0.166,0.04,NR,0.03,0.03,0.78,NR,0.84,0.705281,
South Carolina,0.211,0.264,0.329,0.264,0.048,0.086,0.023,0.057,NR,NR,NR,NR,0.65,0.6,0.64,0.66824,
South Dakota,0.011,0.02,NA,0.022,0.003,0.045,0.013,0.037,0,0.01,0.01,0.01,0.94,0.8,0.86,0.819333,
Tennessee,0.119,0.161,0.179,0.165,0.053,0.084,0.027,0.057,0.02,0.01,0.01,0.02,0.67,0.71,0.78,0.774735,
Texas,0.083,0.15,0.104,0.117,0.339,0.512,0.453,0.4,0.07,0.01,0.02,0.05,0.4,0.33,0.42,0.411405,
Utah,0.01,0.012,0.008,0.01,0.105,0.225,0.154,0.144,0.03,0.02,0.03,0.02,0.8,0.7,0.73,0.777501,
Vermont,0.011,0.026,NA,0.015,0.022,0.016,NA,0.018,0.02,0.04,NA,0.02,0.96,0.89,0.97,0.938065,
Virginia,0.147,0.212,0.25,0.189,0.138,0.191,0.067,0.096,0.06,0.04,0.04,0.07,0.59,0.5,0.64,0.612954,
Washington,0.032,0.054,0.035,0.038,0.09,0.319,0.119,0.13,0.12,0.06,0.08,0.09,0.64,0.5,0.71,0.675283,
West Virginia,0.03,0.05,0.033,0.033,,,,,,,,,0.93,0.92,0.96,0.935594,11. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,0.042,0.045,0.065,0.063,0.052,0.107,0.049,0.071,0.03,0.02,0.02,0.03,0.91,0.8,0.86,0.85553,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
