State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Mississippi,0.37,0.551,0.411,0.378,0.027,0.04,0.009,0.03,0.02,0,0.01,0.01,0.57,0.4,0.56,0.583,
Missouri,0.092,0.25,0.127,0.113,0.053,0.132,0.022,0.043,0.03,0.02,0.01,0.021,0.81,0.54,0.83,0.821,"5. The state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data"
Nevada,0.059,0.079,0.099,0.092,0.253,0.473,0.25,0.293,0.11,0.07,0.11,0.085,0.43,0.33,0.51,0.478,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,0.08,NR,0.167,0.124,0.168,NR,0.206,0.21,0.12,NR,0.06,0.096,0.53,NR,0.56,0.545,
New Mexico,0.017,0.011,0.012,0.017,0.394,0.587,0.393,0.495,0.03,0.01,0.01,0.016,0.44,0.19,0.28,0.367,
New York,0.124,NR,0.205,0.157,0.188,NR,0.217,0.193,0.15,NR,0.08,0.087,0.71,NR,0.5,0.634,
North Carolina,0.184,0.204,0.257,0.213,0.088,0.199,0.048,0.097,0.05,0.01,0.01,0.029,0.69,0.54,0.67,0.683,
North Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,0.091,0.14,0.128,0.123,0.04,0.047,0.018,0.04,0.03,0.02,0.01,0.023,0.81,0.74,0.84,0.811,
Oklahoma,0.061,0.065,0.069,0.07,0.112,0.141,0.062,0.111,0.04,0.02,0.01,0.021,0.8,0.64,0.73,0.725,8. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,0.023,0.029,0.022,0.018,0.09,0.325,0.108,0.134,0.06,0.03,0.03,0.047,0.74,0.57,0.8,0.75,
Pennsylvania,0.05,NR,0.127,0.081,0.06,NR,0.042,0.067,0.01,NR,0.02,0.036,0.83,NR,0.81,0.881,"9. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,0.048,NR,0.045,0.059,0.138,NR,0.082,0.166,0.04,NR,0.02,0.033,0.77,NR,0.84,0.705,
South Carolina,0.218,0.263,0.329,0.264,0.052,0.087,0.024,0.057,NR,NR,NR,NR,0.64,0.6,0.64,0.668,"10. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
South Dakota,0.012,0.02,NA,0.022,0.003,0.045,0.012,0.037,0,0.01,0.01,0.013,0.93,0.8,0.86,0.819,
Tennessee,0.12,0.162,0.181,0.165,0.056,0.083,0.027,0.057,0.02,0.01,0.01,0.018,0.66,0.71,0.78,0.775,
Texas,0.083,0.148,0.105,0.117,0.346,0.516,0.452,0.4,0.07,0.01,0.02,0.05,0.39,0.32,0.42,0.411,
Utah,0.011,0.012,0.009,0.01,0.111,0.224,0.155,0.144,0.03,0.02,0.03,0.023,0.79,0.7,0.73,0.778,11. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,0.011,0.026,NA,0.015,0.023,0.016,NA,0.018,0.02,0.04,NA,0.016,0.96,0.89,0.97,0.938,
Virginia,0.16,0.215,0.252,0.189,0.093,0.19,0.067,0.096,0.1,0.04,0.04,0.067,0.59,0.51,0.64,0.613,"12. As of 7/19, state made changes or correction to data reporting by race/ethnicity, which led to a large decrease in the share of vaccinations with unknown race/ethnicity."
Washington,0.034,0.054,0.036,0.038,0.095,0.317,0.118,0.13,0.12,0.06,0.08,0.089,0.63,0.5,0.71,0.675,
West Virginia,0.03,0.05,0.033,0.033,NR,NR,NR,NR,NR,NR,NR,NR,0.92,0.92,0.96,0.936,13. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,0.044,0.049,0.066,0.063,0.055,0.109,0.05,0.071,0.04,0.02,0.02,0.03,0.91,0.79,0.85,0.856,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
