Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Kentucky,Yes,NR,NR,NR,NR,<0.01,<0.01,NR,NR,NR,NR,NR,
Louisiana,Yes,0.57,0.33,0.07,0.03,<0.01,<0.01,0.06,0.86,0.14,0.94,0.06,
Maine,,0.77,0.02,0.02,0.02,0.01,<0.01,0.16,0.96,0.04,0.96,0.04,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,Yes,0.53,0.28,0.11,0.08,0.01,<0.01,0.09,0.96,0.04,0.96,0.04,
Massachusetts,,0.71,0.07,0.11,0.08,<0.01,<0.01,0.02,NR,NR,NR,NR,
Michigan,,0.73,0.11,0.06,0.04,0.01,NR,0.06,0.88,0.12,0.88,0.12,
Minnesota,,0.8,0.07,0.05,0.06,0.01,NR,0.01,0.9,0.1,0.9,0.1,
Mississippi,Yes,0.55,0.4,0.03,0.02,<0.01,<0.01,0.03,NR,NR,NR,NR,
Missouri,Yes,NR,NR,NR,NR,<0.01,<0.01,NR,NR,NR,NR,NR,"5. The state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data"
Nevada,,0.36,0.06,0.28,0.09,0.01,NR,0.2,NR,NR,NR,NR,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,0.83,0.01,0.04,0.03,<0.01,<0.01,0.08,NR,NR,NR,NR,
New Jersey,,0.5,0.1,0.19,0.12,NR,NR,0.1,0.9,0.1,0.9,0.1,
New Mexico,,0.43,0.02,0.37,0.03,0.13,NR,0.03,0.93,0.07,0.93,0.07,
New York,Yes,0.67,0.17,0.22,0.15,NR,NR,0.02,NR,NR,NR,NR,
North Carolina,Yes,0.66,0.2,0.1,0.05,0.01,NR,0.08,0.94,0.06,0.86,0.14,
North Dakota,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,Yes,0.78,0.11,0.05,0.04,<0.01,<0.01,0.07,0.97,0.03,0.88,0.12,
Oklahoma,Yes,0.75,0.07,0.13,0.04,0.08,NR,0.05,0.81,0.19,0.72,0.28,8. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.75,0.03,0.1,0.07,0.03,0.01,0.01,0.96,0.04,0.96,0.04,
Pennsylvania,Yes,0.7,0.09,0.08,0.04,<0.01,<0.01,0.17,0.91,0.09,0.81,0.19,"9. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.68,0.05,NR,0.04,<0.01,<0.01,0.07,0.96,0.04,NR,NR,
South Carolina,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"10. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
South Dakota,,0.9,0.02,<0.01,<0.01,0.04,NR,0.03,0.92,0.08,0.78,0.22,
Tennessee,Yes,0.62,0.12,0.07,0.02,0,0,0.24,0.96,0.04,0.92,0.08,
Texas,,0.31,0.08,0.38,0.05,NR,NR,0.18,0.96,0.04,0.96,0.04,
Utah,,0.79,0.01,0.13,0.03,0.01,0.01,0.01,0.94,0.06,0.94,0.06,11. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,Yes,0.95,0.01,0.02,0.02,<0.01,<0.01,0.02,0.97,0.03,0.95,0.05,
Virginia,,0.57,0.17,0.11,0.09,<0.01,NR,0.05,0.86,0.14,0.86,0.14,
Washington,,0.56,0.04,0.11,0.11,0.01,0.01,0.16,NR,NR,NR,NR,
West Virginia,Yes,0.92,0.04,NR,NR,NR,NR,0.05,0.97,0.03,NR,NR,12. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.89,0.06,0.07,0.04,0.01,NR,0.06,0.96,0.04,0.96,0.04,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
