State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Louisiana,0.273023,0.334422,0.39,0.320741,,,,,0.022566,0.040887,0.008,0.017151,0.625534,0.535066,0.57,0.622472,
Maine,0.00824,0.055916,0.014,0.013651,0.0115459,0.0218567,NA,0.016853,0.008388,0.012464,NA,0.011138,0.966795,0.900583,0.963,0.931784,2
Maryland,0.228049,0.333254,0.351,0.301745,0.050478,0.1852019,0.09,0.1062944,0.068684,0.026376,0.038,0.063907,0.638522,0.40067,0.517,0.545958,
Massachusetts,0.0555,0.079423,0.075,0.070095,0.0580197,0.2828696,0.078,0.123915,0.048555,0.036044,0.033,0.067365,0.81726,0.4932,0.799,0.704733,
Michigan,0.082669,0.140804,0.233,0.133641,0.0199157,0.0742758,0.035,0.052699,0.052794,0.019631,0.01,0.03235,0.810416,0.716391,0.707,0.749195,
Minnesota,0.035964,0.086361,0.049,0.064128,0.0199802,0.0968627,0.029,0.055721,0.032967,0.047489,0.039,0.049414,0.901099,0.724864,0.865,0.790904,
Mississippi,0.317182,0.377891,0.399,0.377962,0.0170058,0.0251997,0.009,0.0299686,0.016441,0.005465,0.004,0.010101,0.599315,0.544131,0.569,0.583318,
Missouri,0.067353,0.116184,0.12,0.113192,0.0399495,0.0620424,0.022,0.0427405,0.019363,0.011864,0.009,0.020722,0.839903,0.693251,0.839,0.820775,
Montana,,,,,,,,,,,,,,,,,
Nebraska,0.031019,0.043445,0.036,0.049119,0.0749874,0.222914,0.076,0.1132744,0.029213,0.02385,0.008,0.02427,0.883399,0.887349,0.868,0.863287,
Nevada,0.053,0.075999,0.095,0.092077,0.1550004,0.3600023,0.258,0.29322,0.109,0.081999,0.11,0.084979,0.516,0.365003,0.507,0.478193,
New Hampshire,,,,,,,,,,,,,,,,,
New Jersey,0.055306,0.109658,0.162,0.124307,0.0824201,0.2528223,0.204,0.209542,0.085827,0.047671,0.06,0.096146,0.653001,0.421518,0.569,0.544699,
New Mexico,0.014677,0.014771,0.012,0.017165,0.3831805,0.5491911,0.389,0.494869,0.02314,0.010565,0.006,0.016121,0.457526,0.202291,0.278,0.367383,
New York,0.101234,,0.20006,0.15682,0.1253136,,0.213737,0.1930263,0.116193,,0.072977,0.086539,0.769344,,0.489722,0.634198,
North Carolina,0.166316,0.206276,0.283,0.212968,0.0509763,0.2120643,0.067,0.0974273,0.034737,0.019113,0.014,0.029242,0.743158,0.620712,0.622,0.682953,
North Dakota,,,,,,,,,,,,,,,,,3
Ohio,0.071368,0.13165,0.12,0.123159,0.0220971,0.0472526,0.017,0.0398455,0.021692,0.017475,0.009,0.023049,0.851984,0.749592,0.852,0.811163,
Oklahoma,0.04837,0.069766,0.064,0.06968,0.0677656,0.1384136,0.062,0.1109501,0.033158,0.023695,0.012,0.020949,0.832245,0.736862,0.734,0.724761,2
Oregon,0.016211,0.029484,0.019,0.017654,0.0564219,0.3429267,0.116,0.134023,0.042557,0.03772,0.037,0.04651,0.795049,0.594557,0.79,0.750262,
Pennsylvania,0.037267,0.136075,0.121,0.109627,0.0266094,0.1903937,0.041,0.0775972,0.002109,0.027114,0.019,0.03563,0.849546,0.816535,0.816,0.799761,4
Rhode Island,0.034449,0.074539,0.046,0.059286,0.087581,0.2972263,0.078,0.166283,0.018675,0.022438,0.022,0.033391,0.804288,0.568996,0.848,0.705281,
South Carolina,0.174441,0.262695,0.328,0.26387,0.0249121,0.086793,0.023,0.0572295,,,,,0.660931,0.584313,0.639,0.66824,
South Dakota,,,,,,,,,,,,,,,,,
Tennessee,0.108257,0.154344,0.176,0.164989,0.0329768,0.0855384,0.027,0.0570572,0.017415,0.010474,0.008,0.01846,0.751217,0.739532,0.786,0.774735,
Texas,0.078396,0.188174,0.1,0.116566,0.2755876,0.411749,0.453,0.399506,0.072892,0.013855,0.021,0.049838,0.479238,0.379867,0.422,0.411405,
Utah,0.007175,0.014686,0.008,0.010348,0.0671603,0.2267501,0.155,0.144272,0.026149,0.02087,0.03,0.023075,0.843896,0.70012,0.729,0.777501,5
Vermont,0.006119,0.042194,NA,0.015158,,,,,0.010854,0.051349,NA,0.016293,0.972926,0.876583,0.966,0.938065,
Virginia,0.141007,0.218514,0.243,0.188531,0.0711813,0.1693954,0.068,0.096166,0.042889,0.044035,0.039,0.067428,0.680611,0.518419,0.642,0.612954,
Washington,0.0265,0.055089,0.034,0.038079,0.0653588,0.3151368,0.121,0.129943,0.094587,0.063116,0.076,0.089221,0.67061,0.486646,0.715,0.675283,
West Virginia,0.025011,0.038876,0.031,0.032687,,,,,,,,,0.96258,0.935123,0.961,0.935594,2
Wisconsin,0.031816,0.070066,0.063,0.062746,0.0325082,0.1192634,0.049,0.070758,0.021756,0.026875,0.017,0.029955,0.937048,0.831208,0.857,0.85553,
Wyoming,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,
"Vaccination data based on KFF analysis of publicly available data on state websites; Cases and deaths based on KFF analysis of The COVID Tracking Project, COVID Racial Data Tracker; total population data used to calculate rates based on KFF analysis of 2019 American Community Survey data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,
NR: Data not reported because state does not report vaccination data by race/ethnicity or state data has been excluded from vaccination rate analysis since the state reports data based total doses administered rather than people vaccinated. ,,,,,,,,,,,,,,,,,
NA: Data suppressed due to less than 10 observations or insufficient for total population comparison,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
"Persons of Hispanic origin may be of any race. States vary in whether they include or exclude Hispanic individuals in racial categories. States also vary in their racial/ethnic classifications. For example, some states report Asian and Pacific Islander people separately while others report them as a combined group.Total population data used to calculate rates is matched to each states’ racial classification for vaccination data. Rates may not match those reported on state websites due to differences in the source for total population data. States vary in whether they report total people who have received at least one vaccine dose, people who have received one dose and people who are fully vaccinated, or total vaccinations administered. Where possible, we report data for the total number of people who have received at least one vaccine dose. However, some states only report total vaccinations, meaning people who have received two doses are included in the data twice. Some states exclude vaccinations administered through the federal long-term care partnership from their data, which affects the demographic profile of people who have received vaccinations. Percent of Cases/Deaths Missing Race/Ethnicity Data is the share of total cases/deaths reported in a state for which race/ethnicity is not known. Some states do not update race/ethnicity information as frequently as the count of total cases/deaths for that state, which may increase the % of Cases/Deaths Missing Race/Ethnicity Data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,
1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.,,,,,,,,,,,,,,,,,
2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.,,,,,,,,,,,,,,,,,
3. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.,,,,,,,,,,,,,,,,,
4. Data does not include Philadelphia County due to differences in reporting data.,,,,,,,,,,,,,,,,,
5. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.,,,,,,,,,,,,,,,,,
"6. Data is as of 3/16, the most recently available data",,,,,,,,,,,,,,,,,
7. As of 3/29 the state has removed reporting of vaccine data by race/ethnicity. Data is as of 3/22,,,,,,,,,,,,,,,,,
