Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
South Dakota,,0.91,0.01,<0.01,<0.01,0.03,NR,0.03,0.92,0.08,0.79,0.21,
Tennessee,Yes,0.62,0.12,0.06,0.02,NR,NR,0.23,0.97,0.03,0.92,0.08,
Texas,,0.33,0.08,0.36,0.06,NR,NR,0.18,0.95,0.05,0.95,0.05,
Utah,,0.79,0.01,0.13,0.03,0.01,0.01,0.01,0.9,0.1,0.9,0.1,11. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,Yes,0.95,0.01,0.02,0.02,<0.01,<0.01,0.02,0.97,0.03,0.95,0.05,
Virginia,,0.57,0.17,0.1,0.09,<0.01,NR,0.05,0.86,0.14,0.86,0.14,
Washington,,0.61,0.04,0.11,0.11,0.01,0.01,0.11,0.93,0.07,0.93,0.07,
West Virginia,Yes,0.92,0.04,NR,NR,NR,NR,0.05,0.97,0.03,NR,NR,12. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.9,0.05,0.06,0.04,0.01,NR,0.07,0.96,0.04,0.96,0.04,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
