State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
North Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,3
Ohio,0.077,0.122,0.123,0.123,0.031,0.043,0.017,0.04,0.03,0.015425454,0.01,0.023049,0.84,0.77,0.85,0.811163,
Oklahoma,0.054,0.062,0.066,0.07,0.086,0.141,0.062,0.111,0.04,0.015983611,0.01,0.020949,0.82,0.64,0.73,0.724761,2
Oregon,0.017,0.027,0.019,0.018,0.069,0.355,0.113,0.134,0.05,0.033535089,0.04,0.04651,0.78,0.54,0.8,0.750262,
Pennsylvania,0.043,NR,0.122,0.11,0.04,NR,0.041,0.078,0,NR,0.02,0.03563,0.85,NR,0.82,0.799761,4
Rhode Island,0.04,NR,0.045,0.059,0.103,NR,0.081,0.166,0.03,NR,0.02,0.033391,0.82,NR,0.85,0.705281,
South Carolina,0.186,0.269,0.327,0.264,0.036,0.083,0.024,0.057,NR,NR,NR,NR,0.64,0.59,0.64,0.66824,
South Dakota,0.009,0.02,NA,0.022,0.003,0.049,0.013,0.037,0,0.012906159,0.01,0.012882,0.95,0.77,0.85,0.819333,
Tennessee,0.119,0.152,0.177,0.165,0.043,0.076,0.027,0.057,0.02,0.008689276,0.01,0.01846,0.73,0.71,0.78,0.774735,
Texas,0.08,0.153,0.102,0.117,0.307,0.522,0.453,0.4,0.08,0.011248999,0.02,0.049838,0.44,0.31,0.42,0.411405,
Utah,0.008,0.011,0.008,0.01,0.085,0.228,0.156,0.144,0.03,0.017677217,0.03,0.023075,0.82,0.7,0.73,0.777501,5
Vermont,0.009,0.032,NA,0.015,NR,NR,NR,NR,0.02,0.051789674,NA,0.016293,0.96,0.88,0.97,0.938065,
Virginia,0.142,0.206,0.246,0.189,0.099,0.205,0.068,0.096,0.05,0.038988554,0.04,0.067428,0.64,0.5,0.64,0.612954,
Washington,0.028,0.052,0.034,0.038,0.077,0.339,0.119,0.13,0.11,0.060540088,0.08,0.089221,0.66,0.48,0.72,0.675283,
West Virginia,0.027,0.048,0.032,0.033,NR,NR,NR,NR,NR,NR,NR,NR,0.95,0.92,0.96,0.935594,
Wisconsin,0.036,0.04,0.063,0.063,0.042,0.106,0.049,0.071,0.03,0.020990354,0.02,0.029955,0.93,0.81,0.86,0.85553,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,
"Vaccination data based on KFF analysis of publicly available data on state websites; Cases based on KFF analysis of Centers for Disease Control and Prevention, COVID-19 Response. COVID-19 Case Surveillance Restricted Data Access, Summary, and Limitations, April 9, 2021. Deaths based on KFF analysis of Provisional Death Counts for Coronavirus Disease (COVID-19): Distribution of Deaths by Race and Hispanic Origin, National Center for Health Statistics. Data as of April 14, 2021.; total population data used to calculate rates based on KFF analysis of 2019 American Community Survey data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,
"NR: Data not reported because state does not report vaccination data by race/ethnicity, state has more than 50% of cases with missing race/ethnicity, or state data has been excluded from vaccination rate analysis since the state reports data based total doses administered rather than people vaccinated. ",,,,,,,,,,,,,,,,,
NA: Data suppressed due to less than 10 observations or insufficient for total population comparison,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
"Persons of Hispanic origin may be of any race but are classified as Hispanic. As of April 19, 2021, data on COVID-19 cases is from CDC COVID-19 Case Surveillance Restricted Data. Data prior to April 19 was from The COVID Tracking Project, COVID Racial Data Tracker.  ",,,,,,,,,,,,,,,,,
"The CDC does not take responsibility for the scientific validity or accuracy of methodology, results, statistical analyses, or conclusions presented.",,,,,,,,,,,,,,,,,
"Vaccinations: states vary in whether they include or exclude Hispanic individuals in racial categories. States also vary in their racial/ethnic classifications. For example, some states report Asian and Pacific Islander people separately while others report them as a combined group.Total population data used to calculate rates is matched to each states’ racial classification for vaccination data. Rates may not match those reported on state websites due to differences in the source for total population data. States vary in whether they report total people who have received at least one vaccine dose, people who have received one dose and people who are fully vaccinated, or total vaccinations administered. Where possible, we report data for the total number of people who have received at least one vaccine dose. However, some states only report total vaccinations, meaning people who have received two doses are included in the data twice. Some states exclude vaccinations administered through the federal long-term care partnership from their data, which affects the demographic profile of people who have received vaccinations. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,
1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.,,,,,,,,,,,,,,,,,
2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.,,,,,,,,,,,,,,,,,
3. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.,,,,,,,,,,,,,,,,,
4. Data does not include Philadelphia County due to differences in reporting data.,,,,,,,,,,,,,,,,,
5. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.,,,,,,,,,,,,,,,,,
"6. As of 4/12/2021, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts.",,,,,,,,,,,,,,,,,
