Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
North Dakota,Yes,0.59,0.42,1.41,-17,0.47,1.24,-11.2,0.56,1.05,-3,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.6,0.53,1.13,-6.88,0.63,0.95,3.15,0.94,0.64,33.9,
Oklahoma,Yes,0.49,0.47,1.04,-1.71,0.49,0.99,0.31,0.88,0.55,39.16,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.73,>.99,0.6,48.71,0.55,1.32,-17.48,>.99,0.72,28.32,
Pennsylvania,Yes,0.64,0.76,0.83,12.65,0.53,1.21,-11.01,0.66,0.96,2.53,"10. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.76,0.69,1.1,-6.87,0.72,1.06,-4.47,0.89,0.86,12.32,
South Carolina,,0.52,0.49,1.05,-2.47,0.58,0.89,6.37,NR,NR,NR,
South Dakota,,0.62,0.37,1.67,-24.85,0.05,11.41,-56.53,0.13,4.87,-49.23,
Tennessee,Yes,0.48,0.45,1.07,-2.95,0.64,0.75,16.25,0.62,0.78,13.78,
Texas,,0.54,0.47,1.13,-6.28,0.64,0.85,9.81,0.75,0.72,21.21,
Utah,,0.68,0.82,0.83,13.88,0.61,1.13,-7.72,0.95,0.72,26.69,
Vermont,Yes,0.85,0.75,1.14,-10.21,>.99,0.77,25.84,0.93,0.92,7.53,
Virginia,,0.67,0.66,1.01,-0.72,0.8,0.84,12.83,>.99,0.67,32.7,
Washington,,0.63,0.71,0.88,8.57,0.63,0.99,0.32,0.89,0.7,26.47,"11. As of 3/7/2022, state reports data for Unknown, Multiracial, and Other race people as a single category. We report this data in the ""Other"" category."
West Virginia,Yes,0.6,0.71,0.84,11.04,NR,NR,NR,NR,NR,NR,12. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.62,0.52,1.17,-9.17,0.6,1.02,-1.27,0.77,0.8,14.97,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
