Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
Maine,,0.37,0.25,1.48,-11.92,0.3,1.25,-7.33,0.4,0.93,2.86,2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Maryland,Yes,0.45,0.31,1.45,-14.12,0.24,1.92,-21.65,0.48,0.94,2.64,
Massachusetts,,0.47,0.31,1.49,-15.46,0.24,1.98,-23.23,0.37,1.27,-10.1,
Michigan,,0.28,0.17,1.67,-11.18,0.14,1.97,-13.76,0.29,0.97,0.82,
Minnesota,,0.41,0.22,1.88,-19.4,0.19,2.22,-22.74,0.33,1.25,-8.34,
Mississippi,Yes,0.29,0.26,1.12,-3.11,0.2,1.45,-9.06,0.52,0.56,22.71,
Missouri,Yes,0.29,0.19,1.51,-9.76,0.3,0.97,1.03,0.37,0.79,7.6,
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.39,0.25,1.53,-13.42,0.24,1.62,-14.86,0.45,0.87,5.84,"3. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts."
Nevada,,0.34,0.21,1.65,-13.43,0.23,1.5,-11.39,0.43,0.79,9.31,
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.5,0.32,1.55,-17.7,0.39,1.27,-10.6,0.66,0.75,16.4,4. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.39,0.23,1.74,-16.81,0.25,1.56,-14.23,0.53,0.74,13.54,
North Carolina,Yes,0.38,0.28,1.33,-9.32,0.23,1.67,-15.11,0.5,0.76,12.19,
North Dakota,Yes,0.49,0.24,2.08,-25.6,0.29,1.69,-20.1,0.37,1.32,-12.1,5. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.38,0.23,1.65,-14.83,0.24,1.58,-13.82,0.48,0.78,10.69,
Oklahoma,Yes,0.26,0.18,1.47,-8.39,0.16,1.62,-10.05,0.41,0.64,14.84,2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.36,0.34,1.05,-1.78,0.15,2.34,-20.66,0.38,0.96,1.68,
Pennsylvania,Yes,0.34,0.12,2.71,-21.14,0.14,2.45,-19.86,0.03,13.34,-31,6. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.41,0.24,1.71,-17.05,0.22,1.87,-19.11,0.31,1.3,-9.51,
South Carolina,Yes,0.29,0.21,1.36,-7.75,0.18,1.64,-11.28,NR,NR,NR,
South Dakota,,0.39,0.13,2.98,-25.85,0.02,16.2,-36.5,0.07,5.89,-32.3,
Tennessee,Yes,0.3,0.23,1.32,-7.1,0.22,1.35,-7.61,0.38,0.78,8.54,
Texas,,0.34,0.22,1.57,-12.31,0.21,1.61,-12.85,0.48,0.7,14.5,
Utah,,0.35,0.17,2.07,-18.2,0.18,1.97,-17.33,0.29,1.2,-5.87,
Vermont,Yes,0.44,0.25,1.76,-19.15,NR,NR,NR,0.42,1.06,-2.5,
Virginia,,0.24,0.17,1.4,-6.79,0.2,1.18,-3.64,0.17,1.42,-7.13,
Washington,,0.34,0.25,1.34,-8.68,0.18,1.93,-16.32,0.41,0.82,7.6,
West Virginia,Yes,0.37,0.3,1.22,-6.51,NR,NR,NR,NR,NR,NR,
Wisconsin,Yes,0.4,0.21,1.91,-18.99,0.23,1.75,-17.03,0.36,1.11,-3.82,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
