State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Illinois,0.107,0.138,0.178,0.136,0.147,0.28,0.157,0.176,0.069,0.03,0.035,0.056,0.632,0.518,0.623,0.609,
Indiana,0.075,0.075,0.103,0.094,0.068,0.097,0.04,0.072,0.032,0.01,0.008,0.025,0.798,0.795,0.846,0.83,
Iowa,0.017,0.046,0.029,0.04,0.047,0.094,0.031,0.063,0.022,0.02,0.012,0.024,0.933,0.836,0.918,0.902,
Kansas,0.043,0.058,0.062,0.056,0.118,0.168,0.081,0.122,0.032,0.02,0.014,0.029,0.752,0.729,0.816,0.839,
Kentucky,0.069,0.058,0.083,0.081,NR,NR,NR,NR,0.019,0.01,0.005,0.016,0.814,0.866,0.895,0.869,
Louisiana,0.311,NR,0.364,0.321,0.069,NR,0.027,0.052,0.027,NR,0.008,0.017,0.584,NR,0.595,0.622,
Maine,0.018,0.045,0.011,0.014,0.02,0.017,NA,0.017,0.015,0.01,NA,0.011,0.82,0.918,0.961,0.932,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,0.272,0.319,0.364,0.302,0.104,0.177,0.085,0.106,0.074,0.02,0.037,0.064,0.544,0.388,0.509,0.546,
Massachusetts,0.065,0.076,0.078,0.07,0.104,0.275,0.082,0.124,0.076,0.04,0.033,0.067,0.728,0.486,0.792,0.705,
Michigan,0.101,0.109,0.224,0.134,0.048,0.075,0.037,0.053,0.037,0.02,0.012,0.032,0.729,0.743,0.711,0.749,
Minnesota,0.055,0.081,0.053,0.064,0.05,0.101,0.031,0.056,0.06,0.04,0.04,0.049,0.82,0.729,0.856,0.791,
Mississippi,0.385,0.55,0.395,0.378,0.03,0.04,0.011,0.03,0.017,0,0.005,0.01,0.562,0.399,0.575,0.583,
Missouri,0.108,0.25,0.121,0.113,0.055,0.132,0.023,0.043,0.03,0.02,0.009,0.021,0.858,0.539,0.836,0.821,"5. The state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data"
Nevada,0.061,0.087,0.106,0.092,0.268,0.451,0.237,0.293,0.099,0.07,0.104,0.091,0.392,0.345,0.52,0.478,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,0.01,0.019,0.01,0.013,0.033,0.085,0.024,0.039,0.033,0.02,0.011,0.026,0.879,0.854,0.948,0.898,
New Jersey,0.087,0.135,0.168,0.124,0.18,0.303,0.203,0.21,0.11,0.05,0.059,0.096,0.51,0.46,0.565,0.545,
New Mexico,0.018,0.012,0.013,0.017,0.4,0.583,0.398,0.495,0.026,0.01,0.006,0.016,0.423,0.197,0.286,0.367,
New York,0.148,NR,0.205,0.157,0.211,NR,0.214,0.193,0.145,NR,0.075,0.087,0.69,NR,0.502,0.634,
North Carolina,0.195,0.205,0.253,0.213,0.098,0.191,0.047,0.097,0.045,0.01,0.012,0.03,0.675,0.538,0.674,0.683,
North Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,0.097,0.14,0.127,0.123,0.043,0.047,0.018,0.04,0.033,0.02,0.009,0.023,0.784,0.74,0.844,0.811,
Oklahoma,0.067,0.066,0.067,0.07,0.123,0.136,0.062,0.111,0.042,0.02,0.012,0.022,0.773,0.639,0.731,0.725,8. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,0.026,0.029,0.019,0.018,0.098,0.296,0.098,0.134,0.058,0.03,0.028,0.047,0.739,0.598,0.813,0.75,
Pennsylvania,0.061,NR,0.126,0.081,0.071,NR,0.042,0.067,0.015,NR,0.019,0.036,0.794,NR,0.811,0.881,"9. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,0.053,0.054,0.046,0.059,0.156,0.364,0.081,0.166,0.038,0.02,0.024,0.033,0.746,0.519,0.841,0.705,
South Carolina,0.221,0.263,0.314,0.264,0.058,0.084,0.025,0.057,NR,NR,NR,NR,0.594,0.6,0.649,0.668,"10. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
South Dakota,0.014,0.02,NA,0.022,0.003,0.045,0.013,0.037,0.003,0.01,0.009,0.013,0.923,0.799,0.853,0.819,
Tennessee,0.123,0.166,0.178,0.165,0.062,0.078,0.026,0.057,0.019,0.01,0.007,0.018,0.633,0.713,0.785,0.775,
Texas,0.085,0.148,0.105,0.117,0.355,0.516,0.435,0.4,0.06,0.01,0.02,0.05,0.359,0.325,0.437,0.411,
Utah,0.012,0.012,0.009,0.01,0.12,0.219,0.151,0.144,0.031,0.02,0.026,0.023,0.784,0.704,0.74,0.778,11. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,0.013,0.026,NA,0.015,0.023,0.017,NA,0.018,0.018,0.04,NA,0.016,0.953,0.894,0.965,0.938,
Virginia,0.169,0.219,0.251,0.189,0.1,0.18,0.064,0.096,0.091,0.04,0.036,0.068,0.58,0.514,0.641,0.613,
Washington,0.036,0.052,0.034,0.038,0.105,0.304,0.113,0.13,0.114,0.06,0.068,0.089,0.618,0.518,0.725,0.675,
West Virginia,0.031,0.05,0.032,0.033,NR,NR,NR,NR,NR,NR,NR,NR,0.896,0.916,0.959,0.936,12. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,0.051,0.05,0.066,0.063,0.061,0.108,0.05,0.071,0.04,0.02,0.017,0.03,0.902,0.79,0.853,0.856,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
