State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Kentucky,0.047623,0.080379,0.082463,0.081118,,,,,0.010414,0.011003,0.005112,0.016404,0.862101,0.856414,0.884863,0.868845,
Louisiana,0.259176,0.334422,0.385284,0.320741,,,,,0.019319,0.040887,0.007762,0.017151,0.635791,0.535066,0.600021,0.622472,
Maine,0.008683,0.055916,0.015949,0.013651,0.0104195,0.0218567,0.0120724,0.016853,0.007854,0.012464,0.004785,0.011138,0.967319,0.900583,0.960128,0.931784,2
Maryland,0.213072,0.333254,0.346417,0.301745,0.0417697,0.1852019,0.0920486,0.1062944,0.062274,0.026376,0.035072,0.063907,0.664935,0.40067,0.516333,0.545958,
Massachusetts,0.056431,0.079423,0.066057,0.070095,0.0526039,0.2828696,0.0796515,0.123915,0.046901,0.036044,0.025582,0.067365,0.823578,0.4932,0.742878,0.704733,
Michigan,0.07752,0.140804,0.230117,0.136079,,,,,0.019324,0.019631,0.011335,0.032523,0.790362,0.716391,0.709536,0.78516,
Minnesota,0.034965,0.086361,0.049526,0.064128,0.015984,0.0968627,0.0315168,0.055721,0.02997,0.047489,0.040211,0.049414,0.908092,0.724864,0.844589,0.790904,
Mississippi,0.297579,0.377891,0.402502,0.377962,0.0141832,0.0251997,0.0090416,0.0299686,0.014804,0.005465,0.002712,0.010101,0.62058,0.544131,0.553044,0.583318,
Missouri,0.060758,0.116184,0.140547,0.113192,0.0374198,0.0620424,0.0258949,0.0427405,0.01538,0.011864,0.008809,0.020722,0.844407,0.693251,0.678675,0.820775,
Montana,,,,,,,,,,,,,,,,,
Nebraska,0.026723,0.043445,0.038641,0.049119,0.0404279,0.222914,0.1281847,0.1132744,0.015906,0.02385,0.019987,0.02427,0.905392,0.887349,0.906063,0.863287,
Nevada,0.050949,0.075999,0.092968,0.092077,0.1328671,0.3600023,0.238975,0.29322,0.105894,0.081999,0.117998,0.084979,0.535465,0.365003,0.540127,0.478193,
New Hampshire,,,,,,,,,,,,,,,,,
New Jersey,0.050317,0.109658,0.162014,0.124307,0.072209,0.2528223,0.1877678,0.209542,0.080647,0.047671,0.050989,0.096146,0.661041,0.421518,0.559754,0.544699,
New Mexico,0.013416,0.014771,0.013215,0.017165,0.3721779,0.5491911,0.3967098,0.494869,0.021762,0.010565,0.007282,0.016121,0.460283,0.202291,0.295847,0.367383,
New York,0.09678,,0.230156,0.15682,0.1133735,,0.233815,0.1930263,0.10916,,0.070628,0.086539,0.780787,,0.398926,0.634198,
North Carolina,0.165489,0.206276,0.246847,0.212968,0.0337079,0.2120643,0.0826217,0.0974273,0.027245,0.019113,0.011128,0.029242,0.760848,0.620712,0.663947,0.682953,
North Dakota,,,,,,,,,,,,,,,,,3
Ohio,0.066514,0.13165,0.123285,0.123159,0.0185309,0.0472526,0.0172562,0.0398455,0.023517,0.017475,0.007945,0.023049,0.847198,0.749592,0.858825,0.811163,
Oklahoma,0.044094,0.069766,0.066081,0.06968,0.0536958,0.1384136,0.0599948,0.1109501,0.027656,0.023695,0.013899,0.020949,0.840595,0.736862,0.793709,0.724761,2
Oregon,0.01581,0.029484,0.023884,0.017654,0.0504675,0.3429267,0.1251483,0.134023,0.040456,0.03772,0.030114,0.04651,0.801397,0.594557,0.794912,0.750262,
Pennsylvania,0.03384,0.136075,0.124593,0.109627,0.0221185,0.1903937,0.0404748,0.0775972,0.001809,0.027114,0.016692,0.03563,0.844989,0.816535,0.858672,0.799761,4
Rhode Island,0.034127,0.074539,0.047993,0.059286,0.0785454,0.2972263,0.0955238,0.166283,0.017707,0.022438,0.017074,0.033391,0.813433,0.568996,0.838025,0.705281,
South Carolina,0.16406,0.262695,0.317762,0.262273,0.0197479,0.086793,0.0317389,0.057229,,,,,0.685261,0.584313,0.623779,0.637419,
South Dakota,,,,,,,,,,,,,,,,,
Tennessee,0.099531,0.154344,0.178179,0.164989,0.0263399,0.0855384,0.0285391,0.0570572,0.013988,0.010474,0.005987,0.01846,0.768791,0.739532,0.780091,0.774735,
Texas,0.076304,0.188174,0.096395,0.116566,0.2545308,0.411749,0.4636817,0.399506,0.071932,0.013855,0.020358,0.049838,0.49943,0.379867,0.414328,0.411405,
Utah,0.006796,0.014686,0.009693,0.010348,0.0551237,0.2267501,0.1518578,0.144272,0.020245,0.02087,0.031772,0.023075,0.85978,0.70012,0.71567,0.777501,5
Vermont,0.005628,0.042194,0.010256,0.015158,,,,,0.010932,0.051349,0.025641,0.016293,0.97416,0.876583,0.948718,0.938065,
Virginia,0.137047,0.218514,0.240818,0.188531,0.0593924,0.1693954,0.0681358,0.096166,0.041027,0.044035,0.035878,0.067428,0.700363,0.518419,0.638986,0.612954,
Washington,0.024468,0.055089,0.032014,0.038079,0.0547494,0.3151368,0.1185126,0.129943,0.087514,0.063116,0.076158,0.089221,0.673839,0.486646,0.710082,0.675283,
West Virginia,0.023889,0.038876,0.026636,0.032166,,,,,,,,,0.964658,0.935123,0.957477,0.925209,2
Wisconsin,0.029314,0.070066,0.068757,0.062746,0.0255222,0.1192634,0.0572648,0.070758,0.018048,0.026875,0.018268,0.029955,0.942278,0.831208,0.883774,0.85553,
Wyoming,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,
"Vaccination data based on KFF analysis of publicly available data on state websites; Cases and deaths based on KFF analysis of The COVID Tracking Project, COVID Racial Data Tracker; total population data used to calculate rates based on KFF analysis of 2019 American Community Survey data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,
NR: Data not reported because state does not report vaccination data by race/ethnicity or state data has been excluded from vaccination rate analysis since the state reports data based total doses administered rather than people vaccinated. ,,,,,,,,,,,,,,,,,
NA: Data suppressed due to less than 10 observations or insufficient for total population comparison,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
"Persons of Hispanic origin may be of any race. States vary in whether they include or exclude Hispanic individuals in racial categories. States also vary in their racial/ethnic classifications. For example, some states report Asian and Pacific Islander people separately while others report them as a combined group.Total population data used to calculate rates is matched to each states’ racial classification for vaccination data. Rates may not match those reported on state websites due to differences in the source for total population data. States vary in whether they report total people who have received at least one vaccine dose, people who have received one dose and people who are fully vaccinated, or total vaccinations administered. Where possible, we report data for the total number of people who have received at least one vaccine dose. However, some states only report total vaccinations, meaning people who have received two doses are included in the data twice. Some states exclude vaccinations administered through the federal long-term care partnership from their data, which affects the demographic profile of people who have received vaccinations. Percent of Cases/Deaths Missing Race/Ethnicity Data is the share of total cases/deaths reported in a state for which race/ethnicity is not known. Some states do not update race/ethnicity information as frequently as the count of total cases/deaths for that state, which may increase the % of Cases/Deaths Missing Race/Ethnicity Data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,
1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.,,,,,,,,,,,,,,,,,
2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.,,,,,,,,,,,,,,,,,
3. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.,,,,,,,,,,,,,,,,,
4. Data does not include Philadelphia County due to differences in reporting data.,,,,,,,,,,,,,,,,,
5. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.,,,,,,,,,,,,,,,,,
