State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,
Georgia,0.264,NR,0.347,0.318,0.085,NR,0.055,0.098,0.07,NR,0.02,0.041,0.54,NR,0.58,0.58,
Hawaii,0.01,0.015,NA,0.013,NR,NR,NR,NR,0.52,0.48,0.48,0.4,0.26,0.12,0.09,0.225,
Idaho,0.007,0.005,NA,0.007,0.109,0.18,0.1,0.129,0.02,0.01,0.01,0.013,0.83,0.76,0.86,0.894,
Illinois,0.104,0.136,0.178,0.136,0.145,0.294,0.163,0.176,0.07,0.03,0.04,0.056,0.63,0.5,0.62,0.609,
Indiana,0.074,0.07,0.105,0.094,0.064,0.099,0.04,0.072,0.03,0.02,0.01,0.025,0.82,0.8,0.84,0.83,
Iowa,0.021,0.044,0.028,0.04,0.044,0.095,0.03,0.063,0.02,0.02,0.01,0.024,0.92,0.84,0.92,0.902,
Kansas,0.045,0.053,0.059,0.056,0.113,0.174,0.083,0.122,0.03,0.02,0.02,0.029,0.77,0.73,0.82,0.839,
Kentucky,0.068,0.05,0.087,0.081,NR,NR,NR,NR,0.02,0.01,0.01,0.016,0.82,0.88,0.89,0.869,
Louisiana,0.305,NR,0.389,0.321,0.072,NR,0.027,0.052,0.03,NR,0.01,0.017,0.59,NR,0.57,0.622,
Maine,0.016,0.046,0.012,0.014,0.02,0.017,NA,0.017,0.02,0.01,NA,0.011,0.84,0.92,0.96,0.932,"3. As of 6/14, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections. 4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations."
Maryland,0.266,NR,0.366,0.302,0.101,NR,0.088,0.106,0.08,NR,0.04,0.064,0.56,NR,0.5,0.546,
Massachusetts,0.063,0.076,0.078,0.07,0.102,0.277,0.082,0.124,0.08,0.04,0.03,0.067,0.73,0.49,0.79,0.705,
Michigan,0.1,0.106,0.228,0.134,0.047,0.076,0.038,0.053,0.04,0.02,0.01,0.032,0.75,0.74,0.71,0.749,
Minnesota,0.052,0.079,0.052,0.064,0.047,0.102,0.029,0.056,0.06,0.04,0.04,0.049,0.83,0.73,0.86,0.791,
Mississippi,0.381,0.551,0.411,0.378,0.028,0.04,0.009,0.03,0.02,0,0.01,0.01,0.56,0.4,0.56,0.583,
Missouri,0.103,0.25,0.127,0.113,0.054,0.132,0.022,0.043,0.03,0.02,0.01,0.021,0.86,0.54,0.83,0.821,"5. The state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data"
Nevada,0.061,0.079,0.099,0.092,0.263,0.473,0.25,0.293,0.11,0.07,0.11,0.085,0.42,0.33,0.51,0.478,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,0.083,NR,0.167,0.124,0.174,NR,0.206,0.21,0.12,NR,0.06,0.096,0.52,NR,0.56,0.545,
New Mexico,0.018,0.011,0.012,0.017,0.397,0.587,0.393,0.495,0.03,0.01,0.01,0.016,0.43,0.19,0.28,0.367,
New York,0.132,NR,0.205,0.157,0.198,NR,0.217,0.193,0.15,NR,0.08,0.087,0.7,NR,0.5,0.634,
North Carolina,0.189,0.204,0.257,0.213,0.092,0.199,0.048,0.097,0.05,0.01,0.01,0.029,0.68,0.54,0.67,0.683,
North Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,7. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,0.094,0.14,0.128,0.123,0.041,0.047,0.018,0.04,0.03,0.02,0.01,0.023,0.8,0.74,0.84,0.811,
Oklahoma,0.064,0.065,0.069,0.07,0.117,0.141,0.062,0.111,0.04,0.02,0.01,0.021,0.79,0.64,0.73,0.725,8. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,0.024,0.029,0.022,0.018,0.094,0.325,0.108,0.134,0.06,0.03,0.03,0.047,0.74,0.57,0.8,0.75,
Pennsylvania,0.059,NR,0.127,0.081,0.068,NR,0.042,0.067,0.01,NR,0.02,0.036,0.8,NR,0.81,0.881,"9. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,0.05,NR,0.045,0.059,0.147,NR,0.082,0.166,0.04,NR,0.02,0.033,0.76,NR,0.84,0.705,
South Carolina,0.227,0.263,0.329,0.264,0.054,0.087,0.024,0.057,NR,NR,NR,NR,0.63,0.6,0.64,0.668,"10. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
South Dakota,0.013,0.02,NA,0.022,0.003,0.045,0.012,0.037,0,0.01,0.01,0.013,0.93,0.8,0.86,0.819,
Tennessee,0.124,0.162,0.181,0.165,0.059,0.083,0.027,0.057,0.02,0.01,0.01,0.018,0.65,0.71,0.78,0.775,
Texas,0.085,0.148,0.105,0.117,0.352,0.516,0.452,0.4,0.07,0.01,0.02,0.05,0.38,0.32,0.42,0.411,
Utah,0.012,0.012,0.009,0.01,0.116,0.224,0.155,0.144,0.03,0.02,0.03,0.023,0.79,0.7,0.73,0.778,11. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,0.012,0.026,NA,0.015,0.023,0.016,NA,0.018,0.02,0.04,NA,0.016,0.95,0.89,0.97,0.938,
Virginia,0.165,0.215,0.252,0.189,0.097,0.19,0.067,0.096,0.09,0.04,0.04,0.067,0.59,0.51,0.64,0.613,
Washington,0.035,0.054,0.036,0.038,0.098,0.317,0.118,0.13,0.12,0.06,0.08,0.089,0.62,0.5,0.71,0.675,
West Virginia,0.031,0.05,0.033,0.033,NR,NR,NR,NR,NR,NR,NR,NR,0.91,0.92,0.96,0.936,12. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,0.046,0.049,0.066,0.063,0.058,0.109,0.05,0.071,0.04,0.02,0.02,0.03,0.91,0.79,0.85,0.856,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
