Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
Kansas,Yes,0.35,0.26,1.34,-8.99,0.3,1.18,-5.52,0.42,0.84,6.86,
Kentucky,Yes,0.36,0.28,1.3,-8.47,NR,NR,NR,0.42,0.87,5.41,
Louisiana,Yes,0.34,0.32,1.07,-2.24,0.31,1.11,-3.3,0.59,0.58,25.04,
Maine,,0.46,0.45,1.01,-0.34,0.44,1.03,-1.21,0.65,0.7,19.14,4. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Maryland,Yes,0.56,0.42,1.32,-13.52,0.4,1.38,-15.47,0.65,0.86,9.08,
Massachusetts,,0.62,0.46,1.36,-16.55,0.4,1.54,-21.82,0.65,0.95,3.38,
Michigan,,0.36,0.24,1.5,-11.95,0.25,1.42,-10.55,0.41,0.86,5.63,
Minnesota,,0.5,0.32,1.57,-18.24,0.32,1.58,-18.43,0.53,0.95,2.55,
Mississippi,Yes,0.32,0.3,1.06,-1.83,0.25,1.27,-6.75,0.62,0.52,29.9,
Missouri,Yes,0.35,0.26,1.33,-8.63,0.4,0.87,5.08,0.52,0.67,17.38,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.45,0.32,1.4,-12.68,0.32,1.38,-12.4,0.57,0.78,12.43,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts."
Nevada,,0.34,0.22,1.54,-11.91,0.28,1.2,-5.6,0.44,0.77,10.25,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.57,0.39,1.45,-17.9,0.45,1.28,-12.5,0.78,0.73,20.7,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.48,0.3,1.56,-17.03,0.37,1.27,-10.12,0.69,0.68,21.97,
North Carolina,Yes,0.43,0.34,1.25,-8.44,0.31,1.37,-11.48,0.64,0.67,21.04,
North Dakota,Yes,0.52,0.3,1.76,-22.3,0.35,1.48,-16.8,0.45,1.16,-7.2,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.44,0.3,1.48,-14.32,0.34,1.31,-10.37,0.64,0.69,19.58,
Oklahoma,Yes,0.31,0.22,1.37,-8.28,0.23,1.37,-8.23,0.52,0.6,20.78,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.48,0.55,0.87,7.13,0.29,1.65,-18.95,0.6,0.8,12.02,
Pennsylvania,Yes,0.45,0.19,2.31,-25.35,0.25,1.81,-20.01,0.04,12.13,-41.06,10. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.53,0.34,1.56,-19.14,0.33,1.62,-20.37,0.54,0.99,0.62,
South Carolina,Yes,0.33,0.26,1.25,-6.67,0.26,1.27,-6.99,NR,NR,NR,
South Dakota,,0.42,0.17,2.48,-25.3,0.03,14.3,-39.38,0.08,5.39,-34.48,
Tennessee,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,3. Data not reported due to unresolved data issues.
Texas,,0.4,0.28,1.43,-12.07,0.33,1.2,-6.78,0.58,0.69,18.25,
Utah,,0.42,0.25,1.71,-17.4,0.29,1.47,-13.35,0.37,1.14,-5.02,
Vermont,Yes,0.64,0.43,1.51,-21.56,0.74,0.86,10.14,0.68,0.94,4.24,
Virginia,,0.28,0.22,1.31,-6.61,0.38,0.74,10.12,0.23,1.2,-4.65,
Washington,,0.44,0.37,1.19,-7.11,0.3,1.45,-13.64,0.62,0.71,17.75,
West Virginia,Yes,0.41,0.36,1.13,-4.59,NR,NR,NR,NR,NR,NR,11. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.46,0.28,1.67,-18.42,0.31,1.47,-14.71,0.48,0.96,1.72,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
