Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
Mississippi,Yes,0.31,0.28,1.08,-2.39,0.23,1.34,-7.7,0.57,0.53,26.67,
Missouri,Yes,0.33,0.24,1.37,-8.93,0.36,0.91,3.43,0.48,0.69,14.91,"3. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.42,0.29,1.45,-13,0.29,1.46,-13.15,0.52,0.81,9.81,"4. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts."
Nevada,,0.32,0.2,1.58,-11.68,0.25,1.26,-6.54,0.41,0.77,9.5,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.45,0.29,1.58,-16.4,0.35,1.28,-9.9,0.59,0.77,20.65,5. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.45,0.28,1.61,-17.08,0.33,1.36,-11.83,0.64,0.7,19.59,
North Carolina,Yes,0.41,0.32,1.27,-8.79,0.28,1.47,-12.99,0.59,0.69,18.3,
North Dakota,Yes,0.51,0.27,1.88,-23.6,0.32,1.56,-18.1,0.41,1.22,-9.1,6. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.41,0.27,1.54,-14.46,0.3,1.39,-11.51,0.58,0.72,16.22,
Oklahoma,Yes,0.28,0.2,1.41,-8.21,0.2,1.44,-8.71,0.47,0.6,18.59,
Oregon,,0.44,0.47,0.94,2.93,0.25,1.74,-18.73,0.53,0.84,8.64,
Pennsylvania,Yes,0.41,0.17,2.42,-24.28,0.21,1.98,-20.46,0.03,12.24,-38.02,7. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.52,0.33,1.6,-19.4,0.31,1.68,-20.93,0.51,1.01,-0.73,
South Carolina,Yes,0.31,0.24,1.29,-7.06,0.23,1.38,-8.58,NR,NR,NR,
South Dakota,,0.41,0.16,2.63,-25.42,0.03,14.88,-38.26,0.08,5.39,-33.41,
Tennessee,Yes,0.32,0.26,1.26,-6.65,0.28,1.17,-4.75,0.45,0.72,12.75,
Texas,,0.38,0.25,1.48,-12.17,0.3,1.26,-7.7,0.54,0.7,16.19,
Utah,,0.39,0.22,1.82,-17.67,0.26,1.54,-13.73,0.34,1.15,-5.11,
Vermont,Yes,0.57,0.36,1.58,-21.17,0.62,0.93,4.39,0.62,0.93,4.08,
Virginia,,0.26,0.2,1.34,-6.72,0.33,0.8,6.76,0.21,1.28,-5.78,
Washington,,0.41,0.33,1.24,-8,0.27,1.52,-14.03,0.57,0.72,16,
West Virginia,Yes,0.39,0.34,1.16,-5.43,NR,NR,NR,NR,NR,NR,
Wisconsin,Yes,0.44,0.25,1.74,-18.6,0.28,1.56,-15.69,0.43,1.01,-0.32,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
