State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Idaho,0.005,0.009,NA,0.007,0.074,0.19,0.106,0.129,0.02,0.010348487,0.01,0.013211,0.83,0.85,0.85,0.893515,
Illinois,0.093,0.127,0.171,0.136,0.114,0.252,0.164,0.176,0.06,0.031057212,0.04,0.056258,0.7,0.54,0.62,0.608517,
Indiana,0.06,0.077,0.097,0.094,0.039,0.099,0.039,0.072,0.03,0.015535891,0.01,0.024507,0.88,0.78,0.85,0.830228,
Iowa,0.014,0.048,0.027,0.04,0.025,0.097,0.029,0.063,0.02,0.015874128,0.01,0.02356,0.94,0.94,0.92,0.90223,
Kansas,0.035,0.059,0.059,0.056,0.089,0.177,0.081,0.122,0.03,0.02265477,0.01,0.029006,0.8,0.86,0.82,0.839256,
Kentucky,0.052,0.08,0.088,0.081,NR,NR,NR,NR,0.01,0.011003008,0.01,0.016404,0.85,0.86,0.89,0.868845,
Louisiana,0.28,0.334,0.389,0.321,NR,NR,NR,NR,0.03,0.040887447,0.01,0.017151,0.62,0.54,0.57,0.622472,
Maine,0.008,0.056,0.013,0.014,0.013,0.022,NA,0.017,0.01,0.012464308,NA,0.011138,0.86,0.9,0.96,0.931784,2
Maryland,0.232,0.333,0.352,0.302,0.059,0.185,0.09,0.106,0.07,0.02637583,0.04,0.063907,0.62,0.4,0.52,0.545958,
Massachusetts,0.054,0.079,0.075,0.07,0.066,0.283,0.079,0.124,0.06,0.036043831,0.03,0.067365,0.8,0.49,0.8,0.704733,
Michigan,0.082,0.141,0.231,0.134,0.025,0.074,0.036,0.053,0.03,0.019631209,0.01,0.03235,0.79,0.72,0.71,0.749195,
Minnesota,0.037,0.086,0.049,0.064,0.027,0.097,0.029,0.056,0.04,0.047489073,0.04,0.049414,0.89,0.72,0.86,0.790904,
Mississippi,0.331,0.378,0.401,0.378,0.02,0.025,0.009,0.03,0.02,0.005464755,0.01,0.010101,0.58,0.54,0.57,0.583318,
Missouri,0.073,0.116,0.121,0.113,0.043,0.062,0.022,0.043,0.02,0.011864095,0.01,0.020722,0.84,0.69,0.84,0.820775,
Montana,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,0.032,0.043,0.035,0.049,0.069,0.223,0.075,0.113,0.03,0.02384955,0.01,0.02427,0.89,0.89,0.87,0.863287,6
Nevada,0.056,0.076,0.096,0.092,0.181,0.36,0.257,0.293,0.12,0.081998872,0.11,0.084979,0.49,0.37,0.51,0.478193,
New Hampshire,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,0.061,0.11,0.162,0.124,0.1,0.253,0.204,0.21,0.1,0.047671221,0.06,0.096146,0.63,0.42,0.57,0.544699,
New Mexico,0.015,0.015,0.012,0.017,0.396,0.549,0.389,0.495,0.03,0.010564857,0.01,0.016121,0.45,0.2,0.28,0.367383,
New York,0.102,NR,0.2,0.157,0.135,NR,0.214,0.193,0.13,NR,0.07,0.086539,0.76,,0.49,0.634198,
North Carolina,0.168,0.206,0.269,0.213,0.057,0.212,0.06,0.097,0.04,0.019113,0.01,0.029242,0.73,0.62,0.64,0.682953,
North Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,3
Ohio,0.074,0.132,0.122,0.123,0.029,0.047,0.017,0.04,0.03,0.017475354,0.01,0.023049,0.84,0.75,0.85,0.811163,
Oklahoma,0.052,0.07,0.065,0.07,0.082,0.138,0.061,0.111,0.04,0.023694995,0.01,0.020949,0.82,0.74,0.73,0.724761,2
Oregon,0.017,0.029,0.02,0.018,0.066,0.343,0.114,0.134,0.05,0.037720294,0.04,0.04651,0.78,0.59,0.79,0.750262,
Pennsylvania,0.041,0.136,0.121,0.11,0.036,0.19,0.041,0.078,0,0.027114417,0.02,0.03563,0.85,0.82,0.82,0.799761,4
Rhode Island,0.035,0.075,0.045,0.059,0.09,0.297,0.08,0.166,0.02,0.022438323,0.02,0.033391,0.8,0.57,0.85,0.705281,
South Carolina,0.183,0.263,0.327,0.264,0.033,0.087,0.024,0.057,NR,NR,NR,NR,0.65,0.58,0.64,0.66824,
South Dakota,0.008,0.023,NA,0.022,0.003,0.038,0.013,0.037,0,0.013581526,0.01,0.012882,0.95,0.78,0.85,0.819333,
Tennessee,0.116,0.154,0.177,0.165,0.04,0.086,0.027,0.057,0.02,0.010474327,0.01,0.01846,0.74,0.74,0.79,0.774735,
Texas,0.08,0.188,0.101,0.117,0.296,0.412,0.453,0.4,0.08,0.013854652,0.02,0.049838,0.46,0.38,0.42,0.411405,
Utah,0.008,0.015,0.008,0.01,0.08,0.227,0.156,0.144,0.03,0.020870469,0.03,0.023075,0.82,0.7,0.73,0.777501,5
Vermont,0.008,0.042,NA,0.015,NR,NR,NR,NR,0.01,0.051349119,NA,0.016293,0.97,0.88,0.97,0.938065,
Virginia,0.142,0.219,0.245,0.189,0.092,0.169,0.068,0.096,0.05,0.04403508,0.04,0.067428,0.65,0.52,0.64,0.612954,
Washington,0.027,0.055,0.034,0.038,0.074,0.315,0.12,0.13,0.1,0.063116043,0.08,0.089221,0.66,0.49,0.72,0.675283,
West Virginia,0.027,0.039,0.031,0.033,NR,NR,NR,NR,NR,NR,NR,NR,0.95,0.94,0.96,0.935594,
Wisconsin,0.034,0.07,0.063,0.063,0.039,0.119,0.049,0.071,0.03,0.026874595,0.02,0.029955,0.93,0.83,0.86,0.85553,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,
"Vaccination data based on KFF analysis of publicly available data on state websites; Cases and deaths based on KFF analysis of The COVID Tracking Project, COVID Racial Data Tracker; total population data used to calculate rates based on KFF analysis of 2019 American Community Survey data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,
NR: Data not reported because state does not report vaccination data by race/ethnicity or state data has been excluded from vaccination rate analysis since the state reports data based total doses administered rather than people vaccinated. ,,,,,,,,,,,,,,,,,
NA: Data suppressed due to less than 10 observations or insufficient for total population comparison,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
"Persons of Hispanic origin may be of any race. States vary in whether they include or exclude Hispanic individuals in racial categories. States also vary in their racial/ethnic classifications. For example, some states report Asian and Pacific Islander people separately while others report them as a combined group.Total population data used to calculate rates is matched to each states’ racial classification for vaccination data. Rates may not match those reported on state websites due to differences in the source for total population data. States vary in whether they report total people who have received at least one vaccine dose, people who have received one dose and people who are fully vaccinated, or total vaccinations administered. Where possible, we report data for the total number of people who have received at least one vaccine dose. However, some states only report total vaccinations, meaning people who have received two doses are included in the data twice. Some states exclude vaccinations administered through the federal long-term care partnership from their data, which affects the demographic profile of people who have received vaccinations. Percent of Cases/Deaths Missing Race/Ethnicity Data is the share of total cases/deaths reported in a state for which race/ethnicity is not known. Some states do not update race/ethnicity information as frequently as the count of total cases/deaths for that state, which may increase the % of Cases/Deaths Missing Race/Ethnicity Data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,
1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.,,,,,,,,,,,,,,,,,
2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.,,,,,,,,,,,,,,,,,
3. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.,,,,,,,,,,,,,,,,,
4. Data does not include Philadelphia County due to differences in reporting data.,,,,,,,,,,,,,,,,,
5. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.,,,,,,,,,,,,,,,,,
"6. As of 4/12/2021, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts.",,,,,,,,,,,,,,,,,
7. Ethnicity data not reported due to an unresolved data issue.,,,,,,,,,,,,,,,,,
