Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
Mississippi,Yes,0.41,0.42,0.96,1.65,0.37,1.1,-3.75,0.77,0.53,36.65,
Missouri,Yes,0.43,0.37,1.16,-5.77,0.55,0.78,12.01,0.62,0.69,19.01,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data."
Nevada,,0.41,0.31,1.32,-9.83,0.42,0.97,1.09,0.55,0.73,14.67,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.67,0.51,1.32,-16.3,0.55,1.23,-12.8,0.92,0.73,24.9,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.54,0.41,1.32,-12.97,0.53,1.01,-0.55,0.84,0.65,29.6,
North Carolina,Yes,0.48,0.43,1.13,-5.41,0.43,1.12,-5.04,0.75,0.65,26.55,
North Dakota,Yes,0.59,0.39,1.5,-19.7,0.39,1.52,-20.1,0.52,1.13,-6.7,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.49,0.38,1.29,-11.2,0.44,1.12,-5.14,0.74,0.67,24.63,
Oklahoma,Yes,0.37,0.32,1.18,-5.7,0.33,1.15,-4.96,0.68,0.55,30.34,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.57,0.79,0.72,21.92,0.4,1.41,-16.46,0.74,0.77,17.4,
Pennsylvania,Yes,0.49,0.39,1.24,-9.48,0.34,1.41,-14.21,0.21,2.34,-27.82,"10. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.62,0.49,1.26,-12.83,0.5,1.22,-11.1,0.66,0.93,4.59,
South Carolina,Yes,0.38,0.35,1.1,-3.6,0.38,1.02,-0.89,NR,NR,NR,
South Dakota,,0.47,0.24,2,-23.75,0.04,12.71,-43.73,0.09,5.12,-38.19,
Tennessee,Yes,0.39,0.35,1.12,-4.11,0.45,0.87,5.9,0.53,0.74,13.59,
Texas,,0.47,0.38,1.26,-9.83,0.45,1.05,-2.08,0.68,0.7,20.4,
Utah,,0.49,0.35,1.4,-14.06,0.4,1.22,-8.87,0.45,1.11,-4.74,
Vermont,Yes,0.73,0.56,1.3,-16.9,0.91,0.8,17.75,0.78,0.93,5.2,
Virginia,,0.55,0.5,1.09,-4.74,0.58,0.95,2.81,0.79,0.69,24.18,
Washington,,0.52,0.52,1.02,-0.84,0.43,1.22,-9.49,0.75,0.7,22.8,
West Virginia,Yes,0.47,0.45,1.02,-1.1,NR,NR,NR,NR,NR,NR,11. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.52,0.36,1.44,-15.82,0.42,1.23,-9.75,0.59,0.88,7.11,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
