State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population
New Mexico,0.02,0.01,0.01,0.02,0.40,0.59,0.39,0.50,0.03,0.01,0.01,0.02,0.44,0.16,0.28,0.37
New York,0.11,NR,0.20,0.16,0.17,NR,0.22,0.19,0.14,NR,0.08,0.09,0.73,NR,0.50,0.63
North Carolina,0.18,0.20,0.26,0.21,0.08,0.21,0.06,0.10,0.05,0.01,0.01,0.03,0.71,0.54,0.66,0.68
North Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Ohio,0.08,0.13,0.12,0.12,0.04,0.04,0.02,0.04,0.03,0.02,0.01,0.02,0.83,0.77,0.85,0.81
Oklahoma,0.06,0.06,0.07,0.07,0.10,0.14,0.06,0.11,0.04,0.02,0.01,0.02,0.81,0.64,0.73,0.72
Oregon,0.02,0.03,0.02,0.02,0.08,0.34,0.11,0.13,0.06,0.03,0.03,0.05,0.76,0.55,0.80,0.75
Pennsylvania,0.05,NR,0.12,0.11,0.05,NR,0.04,0.08,<.01,NR,0.02,0.04,0.85,NR,0.81,0.80
Rhode Island,0.04,NR,0.04,0.06,0.12,NR,0.08,0.17,0.04,NR,0.02,0.03,0.80,NR,0.85,0.71
South Carolina,0.20,0.27,0.33,0.26,0.04,0.08,0.02,0.06,NR,NR,NR,NR,0.63,0.59,0.64,0.67
South Dakota,0.01,0.02,NA,0.02,<.01,0.05,0.01,0.04,<.01,0.01,0.01,0.01,0.94,0.78,0.85,0.82
Tennessee,0.12,0.15,0.18,0.17,0.05,0.07,0.03,0.06,0.02,0.01,0.01,0.02,0.72,0.71,0.78,0.77
Texas,0.08,0.15,0.10,0.12,0.33,0.52,0.45,0.40,0.07,0.01,0.02,0.05,0.42,0.32,0.42,0.41
Utah,0.01,0.01,0.01,0.01,0.10,0.23,0.16,0.14,0.03,0.02,0.03,0.02,0.80,0.70,0.73,0.78
Vermont,0.01,0.03,NA,0.02,0.02,0.02,NA,0.02,0.02,0.04,NA,0.02,0.96,0.89,0.97,0.94
Virginia,0.14,0.21,0.25,0.19,0.13,0.19,0.07,0.10,0.05,0.04,0.04,0.07,0.61,0.50,0.64,0.61
Washington,0.03,0.05,0.03,0.04,0.08,0.33,0.12,0.13,0.12,0.06,0.08,0.09,0.64,0.49,0.72,0.68
West Virginia,0.03,0.05,0.03,0.03,NR,NR,NR,NR,NR,NR,NR,NR,0.93,0.92,0.96,0.94
Wisconsin,0.04,0.04,0.06,0.06,0.05,0.11,0.05,0.07,0.03,0.02,0.02,0.03,0.92,0.80,0.86,0.86
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
