Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
Kansas,Yes,0.8,0.04,0.1,0.03,<.01,<.01,0.13,0.88,0.12,0.81,0.19,
Kentucky,Yes,0.85,0.05,NR,0.01,<.01,<.01,0.08,0.93,0.07,NR,NR,
Louisiana,Yes,0.61,0.28,NR,0.03,<.01,<.01,0.07,0.86,0.14,NR,NR,
Maine,,0.86,0.01,0.02,0.01,<.01,<.01,0.1,0.92,0.08,0.76,0.24,2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Maryland,Yes,0.62,0.23,0.06,0.08,0.01,<.01,0.06,0.94,0.06,0.94,0.06,
Massachusetts,,0.79,0.05,0.07,0.06,<.01,<.01,0.02,0.9,0.1,0.9,0.1,
Michigan,,0.78,0.08,0.03,0.03,0.01,NR,0.07,0.73,0.27,0.73,0.27,
Minnesota,,0.88,0.04,0.03,0.04,0.01,NR,<.01,0.9,0.1,0.9,0.1,
Mississippi,Yes,0.58,0.34,0.02,0.02,<.01,<.01,0.07,NR,NR,0.91,0.09,
Missouri,Yes,0.84,0.08,0.05,0.03,<.01,<.01,0.06,NR,NR,NR,NR,"3. As of 3/29, the state dashboard reports that the number of vaccinations of multiracial people are being overcounted due to a technical issue."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.88,0.03,0.07,0.03,<.01,<.01,0.05,0.96,0.04,0.93,0.07,"4. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts."
Nevada,,0.48,0.06,0.2,0.12,0.01,NR,0.15,NR,NR,NR,NR,
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,0.62,0.06,0.11,0.1,NR,NR,0.11,0.91,0.09,0.91,0.09,
New Mexico,,0.45,0.02,0.4,0.03,0.09,NR,0.02,0.92,0.08,0.92,0.08,
New York,Yes,0.74,0.11,0.14,0.14,NR,NR,0.01,NR,NR,NR,NR,
North Carolina,Yes,0.73,0.17,0.06,0.04,0.01,NR,0.05,0.95,0.05,0.91,0.09,
North Dakota,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,5. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,Yes,0.84,0.08,0.03,0.03,<.01,<.01,0.05,0.95,0.05,0.8,0.2,
Oklahoma,Yes,0.82,0.05,0.09,0.04,0.05,NR,0.03,0.78,0.22,0.7,0.3,2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.78,0.02,0.07,0.05,0.02,0.01,0.06,0.91,0.09,0.91,0.09,
Pennsylvania,Yes,0.85,0.04,0.04,<.01,<.01,<.01,0.1,0.87,0.13,0.73,0.27,6. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.82,0.04,0.1,0.03,<.01,<.01,NR,NR,NR,NR,NR,
South Carolina,Yes,0.64,0.19,0.04,NR,NR,NR,0.14,0.93,0.07,0.87,0.13,"7. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
South Dakota,,0.95,0.01,<.01,<.01,0.02,NR,0.02,0.91,0.09,0.76,0.24,
Tennessee,Yes,0.73,0.12,0.04,0.02,NR,NR,0.13,0.93,0.07,0.87,0.13,
Texas,,0.44,0.08,0.31,0.08,NR,NR,0.09,0.89,0.11,0.89,0.11,
Utah,,0.82,0.01,0.08,0.03,0.01,0.01,0.04,0.89,0.11,0.89,0.11,8. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,Yes,0.96,0.01,NR,0.02,<.01,<.01,0.01,0.95,0.05,NR,NR,
Virginia,,0.64,0.14,0.1,0.05,<.01,NR,0.06,0.6,0.4,0.6,0.4,
Washington,,0.66,0.03,0.08,0.11,0.01,0.01,0.11,0.94,0.06,0.94,0.06,
West Virginia,Yes,0.95,0.03,NR,NR,NR,NR,0.02,0.92,0.08,NR,NR,
Wisconsin,Yes,0.93,0.04,0.04,0.03,0.01,NR,0.04,0.93,0.07,0.94,0.06,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
