Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
Ohio,Yes,0.14,0.07,2.08,-7.27,0.05,3,-9.31,0.13,1.07,-0.97,
Oklahoma,,0.13,0.06,2.11,-6.75,0.04,3.55,-9.22,0.13,0.98,0.2,2
Oregon,Yes,0.12,0.08,1.55,-4.25,0.05,2.39,-6.98,0.09,1.34,-3.03,
Pennsylvania,Yes,0.11,0.03,3.6,-8.04,0.02,4.93,-8.87,0,24.83,-10.68,5
Rhode Island,,0.12,0.07,1.72,-5.23,0.06,2.17,-6.74,0.06,2.04,-6.38,
South Carolina,Yes,0.13,0.07,1.85,-6.01,0.04,3.66,-9.48,NR,NR,NR,
South Dakota,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Tennessee,Yes,0.12,0.06,1.92,-5.92,0.05,2.75,-7.86,0.08,1.5,-4.12,
Texas,,0.11,0.05,2.04,-5.6,0.05,2.2,-5.99,0.13,0.83,2.18,
Utah,,0.1,0.04,2.83,-6.68,0.04,2.86,-6.72,0.05,1.95,-5.04,
Vermont,Yes,0.15,0.06,2.37,-8.7,0.1,1.46,-4.75,0.1,1.46,-4.71,
Virginia,,0.11,0.07,1.64,-4.39,0.06,2.02,-5.69,0.07,1.68,-4.57,
Washington,,0.13,0.08,1.63,-5.04,0.05,2.48,-7.76,0.12,1.06,-0.75,
West Virginia,Yes,0.17,0.12,1.45,-5.28,NR,NR,NR,NR,NR,NR,2
Wisconsin,Yes,0.16,0.06,2.66,-9.74,0.04,3.47,-11.13,0.08,2.07,-8.06,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
,,,,,,,,,,,,
Sources,,,,,,,,,,,,
Vaccination data based on KFF analysis of publicly available data on state websites; total population data used to calculate rates based on KFF analysis of 2019 American Community Survey data.,,,,,,,,,,,,
,,,,,,,,,,,,
Definitions,,,,,,,,,,,,
NR: Data not reported because state does not report vaccination data by race/ethnicity or state data has been excluded from vaccination rate analysis since the state reports data based total doses administered rather than people vaccinated. ,,,,,,,,,,,,
,,,,,,,,,,,,
Percent vaccinated includes people who have received at least one vaccine dose.,,,,,,,,,,,,
,,,,,,,,,,,,
Notes,,,,,,,,,,,,
"Persons of Hispanic origin may be of any race. States vary in whether they include or exclude Hispanic individuals in racial categories. States also vary in their racial/ethnic classifications. For example, some states report Asian and Pacific Islander people separately while others report them as a combined group.Total population data used to calculate rates is matched to each states’ racial classification approach. Rates may not match those reported on state websites due to differences in the source for total population data.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,
1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.,,,,,,,,,,,,
2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.,,,,,,,,,,,,
3. New Mexico is excluded from the total across states due to non-comparable bridged race categories.,,,,,,,,,,,,
4. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.,,,,,,,,,,,,
5. Data does not include Philadelphia County due to differences in reporting data.,,,,,,,,,,,,
