Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
Oklahoma,Yes,0.47,0.44,1.06,-2.69,0.46,1.03,-1.46,0.84,0.56,36.8,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.71,>.99,0.62,43.52,0.52,1.37,-19.37,0.96,0.74,25.06,
Pennsylvania,Yes,0.61,0.7,0.88,8.13,0.48,1.29,-13.93,0.57,1.07,-4.06,"10. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.74,0.64,1.15,-9.57,0.67,1.11,-7.06,0.83,0.89,8.87,
South Carolina,,0.5,0.47,1.07,-3.44,0.54,0.94,3.43,NR,NR,NR,
South Dakota,,0.6,0.35,1.73,-25.49,0.05,11.49,-55.05,0.12,4.9,-47.98,
Tennessee,Yes,0.47,0.44,1.08,-3.38,0.61,0.77,14,0.6,0.78,13.43,
Texas,,0.53,0.46,1.15,-6.76,0.59,0.89,6.34,0.73,0.72,20.25,
Utah,,0.63,0.72,0.87,9.11,0.54,1.16,-8.86,0.83,0.76,20.43,
Vermont,Yes,0.85,0.72,1.17,-12.32,>.99,0.76,26.49,0.9,0.94,5.3,
Virginia,,0.66,0.64,1.03,-2.06,0.75,0.87,9.44,0.97,0.68,30.88,
Washington,,0.6,0.65,0.91,5.8,0.56,1.06,-3.26,0.82,0.72,22.58,
West Virginia,Yes,0.59,0.68,0.86,9.39,NR,NR,NR,NR,NR,NR,11. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.6,0.49,1.23,-11.25,0.56,1.06,-3.51,0.72,0.83,12.08,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
