State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
Pennsylvania,0.045,NR,0.122,0.11,0.043,NR,0.041,0.078,0,NR,0.02,0.03563,0.85,NR,0.82,0.799761,4. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,0.041,NR,0.045,0.059,0.107,NR,0.081,0.166,0.03,NR,0.02,0.033391,0.81,NR,0.85,0.705281,
South Carolina,0.189,0.269,0.327,0.264,0.038,0.083,0.024,0.057,NR,NR,NR,NR,0.64,0.59,0.64,0.66824,
South Dakota,0.009,0.02,NA,0.022,0.003,0.049,0.013,0.037,0,0.012906159,0.01,0.012882,0.95,0.77,0.85,0.819333,
Tennessee,0.12,0.152,0.177,0.165,0.045,0.076,0.027,0.057,0.02,0.008689276,0.01,0.01846,0.73,0.71,0.78,0.774735,
Texas,0.08,0.153,0.102,0.117,0.314,0.522,0.453,0.4,0.08,0.011248999,0.02,0.049838,0.44,0.31,0.42,0.411405,
Utah,0.008,0.011,0.008,0.01,0.088,0.228,0.156,0.144,0.03,0.017677217,0.03,0.023075,0.81,0.7,0.73,0.777501,5. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,0.009,0.032,NA,0.015,0.019,0.015,0,0.018,0.02,0.051789674,NA,0.016293,0.96,0.88,0.97,0.938065,
Virginia,0.141,0.206,0.246,0.189,0.107,0.205,0.068,0.096,0.05,0.038988554,0.04,0.067428,0.63,0.5,0.64,0.612954,
Washington,0.028,0.052,0.034,0.038,0.078,0.339,0.119,0.13,0.11,0.060540088,0.08,0.089221,0.66,0.48,0.72,0.675283,
West Virginia,0.028,0.048,0.032,0.033,NR,NR,NR,NR,NR,NR,NR,NR,0.95,0.92,0.96,0.935594,
Wisconsin,0.037,0.04,0.063,0.063,0.044,0.106,0.049,0.071,0.03,0.020990354,0.02,0.029955,0.92,0.81,0.86,0.85553,
Wyoming,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
