Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
Maryland,Yes,0.42,0.28,1.49,-13.6,0.2,2.09,-21.62,0.42,0.99,0.49,
Massachusetts,,0.41,0.28,1.47,-13.09,0.19,2.13,-21.63,0.29,1.39,-11.43,
Michigan,,0.25,0.15,1.71,-10.39,0.11,2.19,-13.58,0.23,1.06,-1.51,
Minnesota,,0.38,0.19,1.95,-18.31,0.16,2.32,-21.4,0.26,1.42,-11.21,
Mississippi,Yes,0.28,0.25,1.14,-3.54,0.18,1.55,-9.97,0.49,0.58,20.5,
Missouri,Yes,0.26,0.16,1.59,-9.63,0.25,1.02,-0.52,0.3,0.87,4.05,
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,0.37,0.23,1.56,-13.18,0.21,1.73,-15.41,0.38,0.95,1.86,
Nevada,,0.31,0.19,1.68,-12.76,0.19,1.66,-12.48,0.39,0.81,7.53,
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.47,0.3,1.59,-17.6,0.36,1.3,-11,0.61,0.78,13.6,2. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.35,0.19,1.83,-15.97,0.21,1.72,-14.69,0.43,0.82,7.73,
North Carolina,Yes,0.33,0.24,1.36,-8.81,0.17,1.91,-15.89,0.4,0.83,6.97,
North Dakota,Yes,0.48,0.22,2.17,-26,0.27,1.77,-21,0.35,1.38,-13.2,3. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.35,0.21,1.71,-14.77,0.21,1.71,-14.71,0.43,0.83,7.17,
Oklahoma,Yes,0.25,0.17,1.51,-8.46,0.15,1.71,-10.41,0.38,0.67,12.48,
Oregon,,0.33,0.3,1.08,-2.52,0.15,2.12,-17.34,0.32,1.02,-0.79,
Pennsylvania,Yes,0.3,0.1,2.86,-19.26,0.11,2.75,-18.87,0.02,13.55,-27.45,4. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.34,0.18,1.91,-15.99,0.16,2.1,-17.63,0.18,1.92,-16.07,
South Carolina,Yes,0.28,0.2,1.4,-7.86,0.15,1.81,-12.32,NR,NR,NR,
South Dakota,,0.37,0.12,3.2,-25.47,0.02,17.73,-34.97,0.06,5.91,-30.8,
Tennessee,Yes,0.28,0.21,1.35,-7.27,0.19,1.47,-8.89,0.34,0.82,6.04,
Texas,,0.32,0.19,1.62,-12.14,0.21,1.5,-10.53,0.44,0.72,12.3,
Utah,,0.33,0.16,2.13,-17.68,0.18,1.86,-15.37,0.27,1.24,-6.34,
Vermont,Yes,0.39,0.19,2.03,-19.82,NR,NR,NR,0.31,1.26,-8.03,
Virginia,,0.23,0.16,1.41,-6.6,0.2,1.12,-2.37,0.15,1.5,-7.58,
Washington,,0.31,0.22,1.37,-8.31,0.18,1.74,-13,0.36,0.85,5.25,
West Virginia,Yes,0.36,0.29,1.23,-6.75,NR,NR,NR,NR,NR,NR,
Wisconsin,Yes,0.37,0.19,1.99,-18.47,0.2,1.87,-17.25,0.31,1.21,-6.54,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
