Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
Michigan,,0.43,0.33,1.3,-9.95,0.4,1.08,-3.07,0.51,0.85,7.44,
Minnesota,,0.59,0.48,1.24,-11.29,0.5,1.18,-9.17,0.69,0.86,9.88,
Mississippi,Yes,0.46,0.49,0.95,2.34,0.45,1.03,-1.33,0.83,0.56,36.61,
Missouri,Yes,0.45,0.4,1.12,-4.63,0.59,0.75,14.62,0.63,0.71,18.17,"5. As of 5/6, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
Montana,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
Nebraska,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"6. As of 4/12, KFF began reporting the sum of partially and fully vaccinated people for Nebraska; previous periods reflected partially vaccinated or first dose administered counts. As of 6/7, Nebraska does not report race/ethnicity data for people who have received at least one dose. As of 6/30, Nebraska permanently stopped updating its race/ ethnicity vaccination data."
Nevada,,0.42,0.33,1.26,-8.77,0.46,0.91,3.95,0.56,0.75,14.23,"2. As of 4/26, state made changes or corrections to data reporting by race/ethnicity. Data should not be compared to earlier periods due to these data changes or corrections."
New Hampshire,,0.55,0.4,1.37,-14.86,0.46,1.18,-8.37,0.68,0.81,13.23,"14. As of 9/20, KFF began reporting fully vaccinated people for Illinois; previous periods reflected total doses administered."
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.71,0.56,1.26,-14.7,0.59,1.21,-12.1,0.96,0.74,25.4,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.56,0.47,1.2,-9.33,0.61,0.92,4.58,0.87,0.65,30.53,
North Carolina,Yes,0.52,0.48,1.09,-4.16,0.49,1.06,-2.82,0.79,0.66,26.7,
North Dakota,Yes,0.62,0.44,1.42,-18.1,0.5,1.24,-11.9,0.55,1.13,-7.1,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.51,0.41,1.25,-10.2,0.48,1.07,-3.42,0.76,0.68,24.51,
Oklahoma,Yes,0.41,0.37,1.12,-4.44,0.38,1.09,-3.51,0.73,0.56,31.59,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.6,0.87,0.69,26.82,0.44,1.37,-16.09,0.77,0.78,16.72,
Pennsylvania,Yes,0.51,0.43,1.19,-8.3,0.38,1.34,-12.99,0.24,2.14,-27.13,"10. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.64,0.53,1.19,-10.24,0.55,1.15,-8.38,0.69,0.93,5.05,
South Carolina,Yes,0.42,0.39,1.07,-2.89,0.44,0.97,1.38,NR,NR,NR,
South Dakota,,0.5,0.28,1.8,-22.39,0.04,12.67,-46.29,0.1,4.9,-40.01,
Tennessee,Yes,0.42,0.38,1.11,-4.18,0.52,0.82,9.3,0.54,0.78,11.59,
Texas,,0.5,0.41,1.22,-8.96,0.5,1,-0.15,0.69,0.73,18.83,
Utah,,0.53,0.39,1.36,-13.96,0.44,1.19,-8.52,0.46,1.14,-6.5,
Vermont,Yes,0.75,0.61,1.23,-14.2,0.95,0.79,19.92,0.8,0.94,4.95,
Virginia,,0.58,0.55,1.05,-2.86,0.64,0.9,6.35,0.83,0.7,25.01,
Washington,,0.55,0.57,0.97,1.59,0.48,1.15,-7.34,0.77,0.71,22.18,
West Virginia,Yes,0.49,0.49,1.01,-0.49,NR,NR,NR,NR,NR,NR,11. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.54,0.4,1.34,-13.66,0.47,1.15,-6.97,0.62,0.87,8.1,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
