Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
New York,Yes,0.51,0.35,1.47,-16.21,0.44,1.15,-6.47,0.77,0.66,25.79,
North Carolina,Yes,0.45,0.37,1.2,-7.54,0.36,1.24,-8.7,0.68,0.65,23.74,
North Dakota,Yes,0.56,0.34,1.64,-22,0.35,1.62,-21.6,0.5,1.13,-6.6,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.47,0.33,1.4,-13.35,0.38,1.21,-8.2,0.7,0.67,22.98,
Oklahoma,Yes,0.33,0.26,1.3,-7.55,0.26,1.26,-6.76,0.59,0.56,25.73,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.52,0.65,0.8,13.11,0.34,1.54,-18.23,0.67,0.78,14.78,
Pennsylvania,Yes,0.48,0.3,1.61,-18.17,0.35,1.37,-12.93,0.15,3.23,-32.96,"10. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.6,0.43,1.4,-16.89,0.43,1.38,-16.56,0.62,0.96,2.79,
South Carolina,Yes,0.35,0.29,1.21,-5.89,0.3,1.16,-4.89,NR,NR,NR,
South Dakota,,0.44,0.19,2.28,-24.84,0.03,14.23,-41.19,0.09,5.15,-35.7,
Tennessee,Yes,0.35,0.29,1.2,-5.72,0.35,0.98,0.66,0.49,0.72,13.76,
Texas,,0.43,0.31,1.37,-11.54,0.38,1.13,-5.07,0.63,0.68,20.55,
Utah,,0.45,0.29,1.55,-16.08,0.33,1.35,-11.77,0.41,1.1,-4.07,
Vermont,Yes,0.69,0.5,1.39,-19.58,0.84,0.83,14.26,0.74,0.93,5.08,
Virginia,,0.32,0.27,1.21,-5.5,0.49,0.66,16.7,0.3,1.06,-1.73,
Washington,,0.49,0.44,1.1,-4.63,0.37,1.32,-11.98,0.7,0.7,21.23,
West Virginia,Yes,0.43,0.4,1.08,-3.38,NR,NR,NR,NR,NR,NR,11. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.49,0.31,1.56,-17.52,0.36,1.35,-12.72,0.53,0.91,4.69,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
