Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
New Mexico,,0.65,0.47,1.37,-17.5,0.51,1.26,-13.4,0.88,0.73,23.6,7. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.52,0.37,1.42,-15.32,0.48,1.09,-4.2,0.8,0.65,28.09,
North Carolina,Yes,0.46,0.39,1.17,-6.75,0.39,1.18,-7,0.71,0.65,25.23,
North Dakota,Yes,0.57,0.36,1.58,-20.9,0.42,1.35,-14.7,0.51,1.12,-6.1,8. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.48,0.35,1.35,-12.39,0.41,1.16,-6.73,0.72,0.66,24.19,
Oklahoma,Yes,0.35,0.28,1.25,-6.96,0.29,1.21,-5.95,0.63,0.55,28.48,9. Data prior to 5/24 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Oregon,,0.54,0.71,0.76,16.92,0.37,1.48,-17.49,0.7,0.77,16.21,
Pennsylvania,Yes,0.44,0.29,1.52,-15.15,0.27,1.63,-17.08,0.16,2.73,-28.05,"10. Data does not include Philadelphia County due to differences in reporting data. As of 6/21, PA total population data was updated to exclude Philadelphia; data should not be compared to earlier periods due to these data changes or corrections."
Rhode Island,,0.61,0.45,1.35,-15.65,0.47,1.31,-14.41,0.65,0.94,3.69,
South Carolina,Yes,0.36,0.31,1.16,-5.09,0.33,1.09,-2.88,NR,NR,NR,
South Dakota,,0.45,0.21,2.16,-24.38,0.03,13.69,-42.02,0.09,5.14,-36.51,
Tennessee,Yes,0.36,0.31,1.16,-5.06,0.39,0.92,2.92,0.51,0.71,14.51,
Texas,,0.44,0.33,1.33,-10.91,0.4,1.09,-3.77,0.65,0.68,20.99,
Utah,,0.46,0.31,1.49,-15.18,0.36,1.29,-10.3,0.43,1.09,-3.75,
Vermont,Yes,0.71,0.53,1.35,-18.3,0.87,0.81,16.3,0.76,0.93,5.22,
Virginia,,0.53,0.46,1.14,-6.42,0.53,1,0.12,0.77,0.69,24.11,"11. As of 7/19, state made changes or correction to data reporting by race/ethnicity, which led to a large decrease in the share of vaccinations with unknown race/ethnicity."
Washington,,0.51,0.48,1.06,-2.72,0.4,1.27,-10.88,0.73,0.69,22.46,
West Virginia,Yes,0.45,0.42,1.05,-2.31,NR,NR,NR,NR,NR,NR,12. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.5,0.33,1.51,-16.84,0.39,1.29,-11.38,0.56,0.89,6.35,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
