Location,Race Categories Include Hispanic Individuals,White % of Vaccinations,Black % of Vaccinations,Hispanic % of Vaccinations,Asian % of Vaccinations,American Indian or Alaska Native % of Vaccinations,Native Hawaiian or Other Pacific Islander % of Vaccinations,Other % of Vaccinations,% of Vaccinations with Known Race,% of Vaccinations with Unknown Race,% of Vaccinations with Known Ethnicity,% of Vaccinations with Unknown Ethnicity,Footnotes
North Dakota,Yes,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,3. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.
Ohio,Yes,0.84,0.07,0.03,0.03,<.01,<.01,0.05,0.95,0.05,0.8,0.2,
Oklahoma,Yes,0.82,0.05,0.08,0.04,0.05,NR,0.03,0.78,0.22,0.7,0.3,
Oregon,,0.78,0.02,0.07,0.05,0.02,0.01,0.06,0.91,0.09,0.91,0.09,
Pennsylvania,Yes,0.85,0.04,0.04,<.01,<.01,<.01,0.11,0.86,0.14,0.72,0.28,4. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.8,0.04,0.09,0.02,<.01,<.01,0.05,0.91,0.09,0.91,0.09,
South Carolina,Yes,0.65,0.18,0.03,NR,NR,NR,0.14,0.93,0.07,0.87,0.13,"5. South Carolina reports data for Asian, NHOPI, and AIAN people as a single category. We report this data in the ""Other"" category."
South Dakota,,0.95,0.01,<.01,<.01,0.02,NR,0.02,0.91,0.09,0.76,0.24,
Tennessee,Yes,0.74,0.12,0.04,0.02,NR,NR,0.13,0.93,0.07,0.87,0.13,
Texas,,0.46,0.08,0.3,0.08,NR,NR,0.09,0.88,0.12,0.88,0.12,
Utah,,0.82,0.01,0.08,0.03,0.01,0.01,0.04,0.9,0.1,0.9,0.1,6. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.
Vermont,Yes,0.97,0.01,NR,0.01,<.01,<.01,0.01,0.95,0.05,NR,NR,
Virginia,,0.65,0.14,0.09,0.05,<.01,NR,0.06,0.61,0.39,0.61,0.39,
Washington,,0.66,0.03,0.07,0.1,0.01,0.01,0.11,0.93,0.07,0.93,0.07,
West Virginia,Yes,0.95,0.03,NR,NR,NR,NR,0.02,0.93,0.07,NR,NR,
Wisconsin,Yes,0.93,0.03,0.04,0.03,0.01,NR,0.04,0.93,0.07,0.94,0.07,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
