Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
South Carolina,,0.49,0.45,1.09,-3.99,0.51,0.96,2.07,NR,NR,NR,
South Dakota,,0.59,0.33,1.77,-25.47,0.05,11.48,-53.41,0.12,4.89,-46.55,
Tennessee,Yes,0.46,0.42,1.08,-3.49,0.59,0.78,13.01,0.59,0.79,12.55,
Texas,,0.52,0.45,1.16,-7.19,0.57,0.92,4.7,0.71,0.73,19.14,
Utah,,0.61,0.68,0.9,6.67,0.52,1.18,-9.53,0.8,0.76,19,
Vermont,Yes,0.83,0.7,1.19,-13.13,>.99,0.74,28.39,0.87,0.95,3.91,
Virginia,,0.64,0.61,1.04,-2.71,0.72,0.89,7.73,0.92,0.69,28.44,
Washington,,0.59,0.64,0.92,4.98,0.54,1.08,-4.12,0.81,0.73,22.1,
West Virginia,Yes,0.58,0.66,0.88,7.77,NR,NR,NR,NR,NR,NR,13. Data prior to 4/12 will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.
Wisconsin,Yes,0.57,0.45,1.24,-11.05,0.52,1.09,-4.66,0.65,0.87,8.67,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
