State,Black Percent of Vaccinations,Black Percent of Cases,Black Percent of Deaths,Black Percent of Total Population,Hispanic Percent of Vaccinations,Hispanic Percent of Cases,Hispanic Percent of Deaths,Hispanic Percent of Total Population,Asian Percent of Vaccinations,Asian Percent of Cases,Asian Percent of Deaths,Asian Percent of Total Population,White Percent of Vaccinations,White Percent of Cases,White Percent of Deaths,White Percent of Total Population,Footnotes
New Mexico,0.015,0.015,0.012,0.017,0.389,0.549,0.389,0.495,0.020,0.011,0.010,0.016,0.460,0.200,0.280,0.367,
New York,0.102,,0.200,0.157,0.131,,0.214,0.193,0.120,,0.070,0.087,0.760,,0.490,0.634,
North Carolina,0.167,0.206,0.280,0.213,0.052,0.212,0.065,0.097,0.040,0.019,0.010,0.029,0.740,0.620,0.630,0.683,
North Dakota,,,,,,,,,,,,,,,,,3
Ohio,0.072,0.132,0.121,0.123,0.026,0.047,0.017,0.040,0.030,0.017,0.010,0.023,0.850,0.750,0.850,0.811,
Oklahoma,0.051,0.070,0.064,0.070,0.075,0.138,0.062,0.111,0.040,0.024,0.010,0.021,0.830,0.740,0.730,0.725,2
Oregon,0.017,0.029,0.019,0.018,0.061,0.343,0.115,0.134,0.040,0.038,0.040,0.047,0.790,0.590,0.790,0.750,
Pennsylvania,0.039,0.136,0.121,0.110,0.032,0.190,0.041,0.078,0.000,0.027,0.020,0.036,0.840,0.820,0.820,0.800,4
Rhode Island,0.035,0.075,0.045,0.059,0.090,0.297,0.079,0.166,0.020,0.022,0.020,0.033,0.800,0.570,0.850,0.705,
South Carolina,0.179,0.263,0.327,0.264,0.028,0.087,0.023,0.057,,,,,0.660,0.580,0.640,0.668,
South Dakota,0.007,0.023,NA,0.022,0.002,0.038,0.013,0.037,0.000,0.014,0.010,0.013,0.950,0.780,0.850,0.819,
Tennessee,0.112,0.154,0.177,0.165,0.036,0.086,0.027,0.057,0.020,0.010,0.010,0.018,0.740,0.740,0.790,0.775,
Texas,0.079,0.188,0.101,0.117,0.285,0.412,0.453,0.400,0.070,0.014,0.020,0.050,0.470,0.380,0.420,0.411,
Utah,0.008,0.015,0.008,0.010,0.072,0.227,0.156,0.144,0.030,0.021,0.030,0.023,0.840,0.700,0.730,0.778,5
Vermont,0.007,0.042,NA,0.015,,,,,0.010,0.051,NA,0.016,0.970,0.880,0.970,0.938,
Virginia,0.142,0.219,0.243,0.189,0.083,0.169,0.068,0.096,0.050,0.044,0.040,0.067,0.660,0.520,0.640,0.613,
Washington,0.027,0.055,0.034,0.038,0.070,0.315,0.120,0.130,0.100,0.063,0.080,0.089,0.670,0.490,0.720,0.675,
West Virginia,0.026,0.039,0.031,0.033,,,,,,,,,0.960,0.940,0.960,0.936,2
Wisconsin,0.033,0.070,0.063,0.063,0.036,0.119,0.049,0.071,0.020,0.027,0.020,0.030,0.930,0.830,0.860,0.856,
Wyoming,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,
"Vaccination data based on KFF analysis of publicly available data on state websites; Cases and deaths based on KFF analysis of The COVID Tracking Project, COVID Racial Data Tracker; total population data used to calculate rates based on KFF analysis of 2019 American Community Survey data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,
NR: Data not reported because state does not report vaccination data by race/ethnicity or state data has been excluded from vaccination rate analysis since the state reports data based total doses administered rather than people vaccinated. ,,,,,,,,,,,,,,,,,
NA: Data suppressed due to less than 10 observations or insufficient for total population comparison,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,
"Persons of Hispanic origin may be of any race. States vary in whether they include or exclude Hispanic individuals in racial categories. States also vary in their racial/ethnic classifications. For example, some states report Asian and Pacific Islander people separately while others report them as a combined group.Total population data used to calculate rates is matched to each states’ racial classification for vaccination data. Rates may not match those reported on state websites due to differences in the source for total population data. States vary in whether they report total people who have received at least one vaccine dose, people who have received one dose and people who are fully vaccinated, or total vaccinations administered. Where possible, we report data for the total number of people who have received at least one vaccine dose. However, some states only report total vaccinations, meaning people who have received two doses are included in the data twice. Some states exclude vaccinations administered through the federal long-term care partnership from their data, which affects the demographic profile of people who have received vaccinations. Percent of Cases/Deaths Missing Race/Ethnicity Data is the share of total cases/deaths reported in a state for which race/ethnicity is not known. Some states do not update race/ethnicity information as frequently as the count of total cases/deaths for that state, which may increase the % of Cases/Deaths Missing Race/Ethnicity Data.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,
1. Data for Hispanic people are not reported because the majority of ethnicity data are missing for the state.,,,,,,,,,,,,,,,,,
2. Data will not reflect people receiving the single dose of the Janssen vaccine because the data reflects people receiving the first dose of two-dose vaccinations.,,,,,,,,,,,,,,,,,
3. North Dakota reports vaccination rates by race/ethnicity but does not report vaccine distribution by race/ethnicity.,,,,,,,,,,,,,,,,,
4. Data does not include Philadelphia County due to differences in reporting data.,,,,,,,,,,,,,,,,,
5. Individuals may identify as more than one race or ethnicity; totals may not sum to 100%.,,,,,,,,,,,,,,,,,
6. As of 3/29 the state has removed reporting of vaccine data by race/ethnicity. ,,,,,,,,,,,,,,,,,
