Location,Race Categories Include Hispanic Individuals,% of Total White Population Vaccinated,% of Total Black Population Vaccinated,White to Black Ratio,Percentage Point Difference Between White and Black Rate,% of Total Hispanic Population Vaccinated,White to Hispanic Ratio,Percentage Point Difference Between White and Hispanic Rate,% of Total Asian Population Vaccinated,White to Asian Ratio,Percentage Point Difference Between White and Asian Rate,Footnotes
New Hampshire,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Jersey,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
New Mexico,,0.53,0.36,1.49,-0.18,0.43,1.25,-0.11,0.73,0.73,0.2,5. New Mexico is excluded from the total across states due to non-comparable bridged race categories.
New York,Yes,0.44,0.26,1.65,-0.17,0.31,1.41,-0.13,0.62,0.71,0.18,
North Carolina,Yes,0.4,0.31,1.29,-0.09,0.27,1.49,-0.13,0.58,0.69,0.18,
North Dakota,Yes,0.5,0.26,1.94,-0.24,0.31,1.61,-0.19,0.4,1.26,-0.1,6. North Dakota rates based on those reported directly on the state website; the state does not report the number of vaccinations by race/ethnicity. ND is excluded from the total across states because data on number of people vaccinated are not available.
Ohio,Yes,0.4,0.26,1.57,-0.15,0.29,1.41,-0.12,0.55,0.73,0.15,
Oklahoma,Yes,0.28,0.2,1.42,-0.08,0.19,1.48,-0.09,0.46,0.61,0.18,
Oregon,,0.42,0.42,0.98,0.01,0.23,1.81,-0.19,0.48,0.87,0.06,
Pennsylvania,Yes,0.4,0.16,2.51,-0.24,0.19,2.1,-0.21,0.03,12.34,-0.36,7. Data does not include Philadelphia County due to differences in reporting data.
Rhode Island,,0.5,0.31,1.63,-0.19,0.29,1.72,-0.21,0.48,1.05,-0.02,
South Carolina,Yes,0.31,0.23,1.31,-0.07,0.21,1.45,-0.09,NR,NR,NR,
South Dakota,,0.4,0.15,2.73,-0.26,0.03,14.91,-0.38,0.07,5.63,-0.33,
Tennessee,Yes,0.32,0.25,1.27,-0.07,0.26,1.21,-0.06,0.43,0.73,0.12,
Texas,,0.37,0.25,1.5,-0.12,0.29,1.28,-0.08,0.52,0.7,0.16,
Utah,,0.38,0.2,1.9,-0.18,0.24,1.59,-0.14,0.33,1.16,-0.05,
Vermont,Yes,0.53,0.33,1.61,-0.2,0.56,0.96,0.02,0.56,0.95,0.03,
Virginia,,0.26,0.19,1.36,-0.07,0.3,0.85,0.04,0.2,1.31,-0.06,
Washington,,0.39,0.31,1.29,-0.09,0.25,1.56,-0.14,0.53,0.74,0.14,
West Virginia,Yes,0.38,0.33,1.18,-0.06,NR,NR,NR,NR,NR,NR,
Wisconsin,Yes,0.43,0.24,1.78,-0.19,0.27,1.6,-0.16,0.42,1.03,-0.01,
Wyoming,,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,
,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,
