Location,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Asian % of Deaths,Asian % of Total Population,American Indian or Alaska Native % of Deaths,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Deaths,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Deaths,Other % of Total Population,% of Deaths with Known Race,% of Deaths with Unknown Race,% of Deaths with Known Ethnicity,% of Deaths with Unknown Ethnicity
Montana,0.78,0.86,0.01,0.01,0.03,0.04,NA,0.01,0.18,0.06,NA,NA,NA,0.03,0.86,0.14,0.67,0.33
Nebraska,0.87,0.79,0.04,0.05,0.08,0.11,0.01,0.02,0.01,0.01,0,NA,0,0.02,0.72,0.28,0.6,0.4
Nevada,0.51,0.48,0.1,0.09,0.26,0.29,0.11,0.08,0.01,0.01,0.01,0.01,0.01,0.04,1,<.01,1,<.01
New Hampshire,0.95,0.9,0.01,0.01,0.03,0.04,0.01,0.03,0,NA,0,NA,NA,0.02,1,<.01,1,<.01
New Jersey,0.57,0.54,0.16,0.12,0.2,0.21,0.06,0.1,0,0,NA,NA,0,0.02,0.98,0.02,0.98,0.02
New Mexico,0.28,0.37,0.01,0.02,0.39,0.49,0.01,0.02,0.31,0.09,NA,NA,0,0.02,0.97,0.03,0.97,0.03
New York,0.49,0.55,0.2,0.14,0.21,0.19,0.07,0.09,0,0,0,NA,0.02,0.03,0.88,0.12,0.88,0.12
North Carolina,0.64,0.63,0.27,0.21,0.06,0.1,0.01,0.03,0.01,0.01,NA,0,0,0.03,0.94,0.06,0.84,0.16
North Dakota,0.88,0.84,0.01,0.02,0.02,0.04,NA,0.01,0.09,0.05,0,NA,0.01,0.03,0,1,0,1
Ohio,0.85,0.79,0.12,0.12,0.02,0.04,0.01,0.02,0,0,NA,NA,0,0.03,0.99,<.01,0.99,<.01
Oklahoma,0.73,0.65,0.07,0.07,0.06,0.11,0.01,0.02,0.1,0.08,0,0,0.02,0.07,0.9,0.1,0.85,0.15
Oregon,0.79,0.75,0.02,0.02,0.11,0.13,0.04,0.05,0.02,0.01,0.01,0,0.01,0.04,0.84,0.16,0.73,0.27
Pennsylvania,0.82,0.76,0.12,0.1,0.04,0.08,0.02,0.04,NA,0,NA,0,0,0.02,0.93,0.07,1,<.01
Rhode Island,0.85,0.71,0.05,0.06,0.08,0.17,0.02,0.03,NA,0,NA,NA,NA,0.03,0.85,0.15,0.85,0.15
South Carolina,0.64,0.64,0.33,0.26,0.02,0.06,0.01,0.02,0,0,NA,NA,NA,0.02,0.87,0.13,0.76,0.24
South Dakota,0.85,0.82,NA,0.02,0.01,0.04,0.01,0.01,0.12,0.08,NA,NA,NA,0.02,0.96,0.04,0.96,0.04
Tennessee,0.79,0.74,0.18,0.16,0.03,0.06,0.01,0.02,0,0,NA,NA,0,0.02,0.97,0.03,0.92,0.08
Texas,0.42,0.41,0.1,0.12,0.45,0.4,0.02,0.05,0,0,0,0,0,0.02,0.99,<.01,0.99,<.01
Utah,0.73,0.78,0.01,0.01,0.16,0.14,0.03,0.02,0.04,0.01,0.03,0.01,0.01,0.03,0.94,0.06,0.94,0.06
Vermont,0.97,0.93,NA,0.01,0,0.02,NA,0.02,NA,0.01,0,NA,0,0.02,0.94,0.06,0.86,0.14
Virginia,0.64,0.61,0.25,0.19,0.07,0.1,0.04,0.07,0,0,NA,0,0.01,0.03,0.98,0.02,0.98,0.02
Washington,0.72,0.68,0.03,0.04,0.12,0.13,0.08,0.09,0.03,0.01,0.02,0.01,0.01,0.05,1,<.01,1,<.01
West Virginia,0.96,0.93,0.03,0.03,NA,0.01,NA,0.01,NA,0,NA,NA,NA,0.02,0.92,0.08,0,1
Wisconsin,0.86,0.81,0.06,0.06,0.05,0.07,0.02,0.03,0.01,0.01,NA,NA,0,0.02,0.98,0.02,0.96,0.04
Wyoming,0.83,0.84,NA,0.01,0.09,0.1,NA,0.01,0.07,0.02,0,NA,NA,0.02,0.98,0.02,0.98,0.02
