,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,% of Cases with Known Race,% of Cases with Unknown Race
Maine,0.93,0.93,0.03,0.01,0.02,0.02,0.01,0.01,<0.01,0.01,,NA,0.01,0.02,0.66,0.34
Maryland,0.44,0.50,0.32,0.30,0.17,0.11,0.03,0.06,<0.01,<0.01,<0.01,NA,0.03,0.03,0.62,0.38
Massachusetts,0.51,0.70,0.07,0.07,0.25,0.12,0.04,0.07,<0.01,<0.01,<0.01,<0.01,0.12,0.03,0.75,0.25
Michigan,0.79,0.75,0.10,0.13,0.07,0.05,0.01,0.03,<0.01,<0.01,<0.01,NA,0.02,0.03,0.75,0.25
Minnesota,0.77,0.79,0.08,0.06,0.09,0.06,0.04,0.05,0.01,0.01,<0.01,NA,0.02,0.03,0.75,0.25
Mississippi,0.41,0.57,0.55,0.38,0.04,0.03,<0.01,0.01,0.01,<0.01,<0.01,NA,<0.01,0.01,0.68,0.32
Missouri,0.78,0.79,0.12,0.11,0.05,0.04,0.01,0.02,<0.01,<0.01,<0.01,<0.01,0.04,0.03,0.69,0.31
Montana,0.85,0.86,<0.01,0.01,0.03,0.04,<0.01,0.01,0.09,0.06,<0.01,NA,0.02,0.03,0.65,0.35
Nebraska,NR,0.79,NR,0.05,NR,0.11,NR,0.02,NR,0.01,NR,NA,NR,0.02,0.49,0.51
Nevada,0.38,0.48,0.09,0.09,0.42,0.29,0.06,0.08,0.01,0.01,0.01,0.01,0.03,0.04,0.70,0.30
New Hampshire,0.86,0.90,0.02,0.01,0.08,0.04,0.02,0.03,<0.01,NA,<0.01,NA,0.02,0.02,0.62,0.38
New Jersey,0.50,0.54,0.13,0.12,0.27,0.21,0.05,0.10,,<0.01,<0.01,NA,0.05,0.02,0.59,0.41
New Mexico,0.22,0.37,0.01,0.02,0.57,0.49,0.01,0.02,0.15,0.09,<0.01,NA,0.04,0.02,0.77,0.23
New York,NR,0.55,NR,0.14,NR,0.19,NR,0.09,NR,<0.01,NR,NA,NR,0.03,0.47,0.53
North Carolina,0.55,0.63,0.20,0.21,0.17,0.10,0.01,0.03,0.01,0.01,<0.01,<0.01,0.05,0.03,0.67,0.33
North Dakota,NR,0.84,NR,0.02,NR,0.04,NR,0.01,NR,0.05,NR,NA,NR,0.03,,1.00
Ohio,0.77,0.79,0.14,0.12,0.04,0.04,0.01,0.02,<0.01,<0.01,<0.01,NA,0.03,0.03,0.68,0.32
Oklahoma,0.64,0.65,0.07,0.07,0.13,0.11,0.01,0.02,0.10,0.08,<0.01,<0.01,0.04,0.07,0.71,0.29
Oregon,0.65,0.75,0.03,0.02,0.25,0.13,0.03,0.05,0.02,0.01,0.01,<0.01,0.02,0.04,0.63,0.37
Pennsylvania,0.76,0.76,0.07,0.10,0.13,0.08,0.02,0.04,<0.01,<0.01,<0.01,<0.01,0.03,0.02,0.62,0.38
Rhode Island,0.53,0.71,0.06,0.06,0.36,0.17,0.02,0.03,0.01,<0.01,<0.01,NA,0.03,0.03,0.58,0.42
South Carolina,0.62,0.64,0.26,0.26,0.08,0.06,0.01,0.02,<0.01,<0.01,<0.01,NA,0.03,0.02,0.65,0.35
South Dakota,0.80,0.82,0.02,0.02,0.05,0.04,0.01,0.01,0.12,0.08,<0.01,NA,<0.01,0.02,0.75,0.25
Tennessee,0.73,0.74,0.16,0.16,0.07,0.06,0.01,0.02,<0.01,<0.01,<0.01,NA,0.03,0.02,0.72,0.28
Texas,0.38,0.41,0.14,0.12,0.44,0.40,0.02,0.05,<0.01,<0.01,<0.01,<0.01,0.01,0.02,0.59,0.41
Utah,0.73,0.78,0.01,0.01,0.20,0.14,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.03,0.90,0.10
Vermont,0.94,0.93,0.02,0.01,0.02,0.02,0.02,0.02,<0.01,0.01,<0.01,NA,0.01,0.02,0.86,0.14
Virginia,0.57,0.61,0.22,0.19,0.15,0.10,0.04,0.07,<0.01,<0.01,<0.01,<0.01,0.03,0.03,0.72,0.28
Washington,NR,0.68,NR,0.04,NR,0.13,NR,0.09,NR,0.01,NR,0.01,NR,0.05,0.49,0.51
West Virginia,0.92,0.93,0.05,0.03,0.03,0.01,<0.01,0.01,<0.01,<0.01,<0.01,NA,<0.01,0.02,0.65,0.35
Wisconsin,0.81,0.81,0.05,0.06,0.10,0.07,0.02,0.03,0.01,0.01,<0.01,NA,0.01,0.02,0.83,0.17
Wyoming,0.80,0.84,0.01,0.01,0.11,0.10,<0.01,0.01,0.04,0.02,<0.01,NA,0.04,0.02,0.68,0.32
