,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures*,Face Covering Requirement,Emergency Declaration
Maine,New Restrictions Imposed,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>50 Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Maryland,New Restrictions Imposed,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,No Limit,New Service Limits,New Service Limits,Required for General Public,Yes
Massachusetts,New Restrictions Imposed,Rolled Back to High Risk Groups,All Travelers,New Business Closures or Limits,>10 Prohibited,New Service Limits,Closed,Required for General Public,Yes
Michigan,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
Minnesota,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
Mississippi,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
Missouri,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service,Reopened,-,Yes
Montana,Reopened,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Nebraska,Reopened,-,Lifted,-,No Limit,Reopened to Dine-in Service,Reopened,Required for Certain Employees,Yes
Nevada,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
New Hampshire,Paused,Lifted,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,No Limit,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
New Jersey,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 Prohibited,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
New Mexico,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,>10 Prohibited,Newly Closed to Indoor Dining,Closed,Required for General Public,Yes
New York,New Restrictions Imposed,Rolled Back to High Risk Groups,From Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
North Carolina,New Restrictions Imposed,During Curfew Hours,-,New Business Closures or Limits,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
North Dakota,Reopened,-,Lifted,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Ohio,New Restrictions Imposed,During Curfew Hours,Lifted,All Non-Essential Businesses Permitted to Reopen,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
Oklahoma,Reopened,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service,Reopened,-,Yes
Oregon,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,>10 Prohibited,Newly Closed to Indoor Dining,New Service Limits,Required for General Public,Yes
Pennsylvania,New Restrictions Imposed,Lifted,All Travelers,New Business Closures or Limits,No Limit,New Service Limits,Closed,Required for General Public,Yes
Rhode Island,New Restrictions Imposed,Lifted,From Certain States,New Business Closures or Limits,All Gatherings Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
South Carolina,New Restrictions Imposed,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen,No Limit,New Service Limits,New Service Limits,Allows Local Officials to Require for General Public,Yes
South Dakota,Reopened,-,-,-,No Limit,-,Reopened,-,Yes
Tennessee,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,>10 Prohibited,Reopened to Dine-in Service,Reopened,Allows Local Officials to Require for General Public,Yes
Texas,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,>10 Prohibited,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Utah,New Restrictions Imposed,Lifted,Lifted,-,No Limit,Reopened to Dine-in Service,New Service Limits,Required for General Public,Yes
Vermont,New Restrictions Imposed,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Gatherings Prohibited,New Service Limits,Closed,Required for General Public,Yes
Virginia,New Restrictions Imposed,During Curfew Hours,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 Prohibited,New Service Limits,Closed,Required for General Public,Yes
Washington,New Restrictions Imposed,Lifted,International Travelers,New Business Closures or Limits,All Gatherings Prohibited,Newly Closed to Indoor Dining,Closed,Required for General Public,Yes
West Virginia,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>25 Prohibited,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Wisconsin,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Wyoming,Reopened,-,Lifted,-,No Limit,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
