,State Is Easing Social Distancing Measures,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Face Covering Requirement,School Closures,Primary Election Postponement,Emergency Declaration
District of Columbia,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed for School Year,-,Yes
Florida,Yes,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Recommended Closure for School Year,-,Yes
Georgia,Yes,Rolled Back to High Risk Groups,-,All Non-Essential Businesses Permitted to Reopen ,Expanded to New Limit Above 25,Reopened to Dine-in Service ,Required for Certain Employees,Closed for School Year,Postponed,Yes
Hawaii,Yes,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service,Required for General Public,Closed for School Year,-,Yes
Idaho,Yes,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,-,Recommended Closure,-,Yes
Illinois,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Closed Except for Takeout/Delivery,Required for General Public,Closed for School Year,-,Yes
Indiana,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Closed,Postponed,Yes
Iowa,Yes,-,-,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service,Allows Local Officals to Require for General Public,Closed for School Year,-,Yes
Kansas,Yes,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service ,-,Closed for School Year,-,Yes
Kentucky,Yes,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Below 25,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Recommended Closure for School Year,Postponed,Yes
Louisiana,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Closed for School Year,Postponed,Yes
Maine,Yes,Statewide,All Travelers,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Recommended Closure for School Year,Postponed,Yes
Maryland,Yes,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed for School Year,Postponed,Yes
Massachusetts,Yes,Rolled Back to High Risk Groups,All Travelers,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Reopened to Dine-in Service,Required for General Public,Closed for School Year,-,Yes
Michigan,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed for School Year,-,Yes
Minnesota,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Closed for School Year,-,Yes
Mississippi,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Closed for School Year,Postponed,Yes
Missouri,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,-,Closed for School Year,-,Yes
Montana,Yes,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,-,Rescinded,-,Yes
Nebraska,Yes,-,Rolled Back to International Travel,-,Expanded to New Limit of 25,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Closed,-,Yes
Nevada,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed for School Year,-,Yes
New Hampshire,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Closed for School Year,-,Yes
New Jersey,Yes,Lifted,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed,Postponed,Yes
New Mexico,Yes,Statewide,All Air Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Closed Except for Takeout/Delivery,Required for Certain Employees,Closed for School Year,-,Yes
New York,Yes,Statewide,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed for School Year,Postponed,Yes
North Carolina,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>10 People Prohibited,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed,-,Yes
North Dakota,Yes,-,All Travelers,All Non-Essential Businesses Permitted to Reopen,-,Reopened to Dine-in Service,- ,Closed,-,Yes
Ohio,Yes,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service,Required for Certain Employees,Closed for School Year,Postponed,Yes
Oklahoma,Yes,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,-,Closed for School Year,-,Yes
Oregon,Yes,Statewide,-,Some Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service,Required for General Public,Closed for School Year,-,Yes
Pennsylvania,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed for School Year,-,Yes
Rhode Island,Yes,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Below 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed,Postponed,Yes
South Carolina,Yes,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Allows Local Officals to Require for General Public,Closed for School Year,-,Yes
South Dakota,Yes,-,-,-,Lifted,-,-,Recommended Closure for School Year,-,Yes
Tennessee,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Expanded to New Limit Above 25,Reopened to Dine-in Service,-,Recommended Closure for School Year,-,Yes
Texas,Yes,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Allows Local Officals to Require for General Public,Closed for School Year,-,Yes
Utah,Yes,Lifted,Lifted,-,Expanded to New Limit Above 25,Reopened to Dine-in Service,Required for Certain Employees,Closed for School Year,-,Yes
Vermont,Yes,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit of 25,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Closed for School Year,-,Yes
Virginia,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed for School Year,-,Yes
Washington,Yes,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,Other,Reopened to Dine-in Service with Capacity Limits,Required for General Public,Closed for School Year,-,Yes
West Virginia,Yes,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded to New Limit Above 25,Reopened to Dine-in Service with Capacity Limits,Required for Certain Employees,Closed for School Year,Postponed,Yes
Wisconsin,Yes,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,-,Closed for School Year,-,Yes
Wyoming,Yes,-,Lifted,-,Expanded to New Limit Above 25,Reopened to Dine-in Service ,Required for Certain Employees,Closed for School Year,-,Yes
