,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures*,Face Covering Requirement,Emergency Declaration
Pennsylvania,New Restrictions Imposed,Lifted,All Travelers,New Business Closures or Limits,>10 Prohibited,Newly Closed to Indoor Dining,Closed,Required for General Public,Yes
Rhode Island,New Restrictions Imposed,Lifted,Rolled Back to Certain States,New Business Closures or Limits,All Gatherings Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
South Carolina,New Restrictions Imposed,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen,No Limit,New Service Limits,New Service Limits,Allows Local Officials to Require for General Public,Yes
South Dakota,Reopened,-,-,-,No Limit,-,Reopened,-,Yes
Tennessee,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service,Reopened,Allows Local Officials to Require for General Public,Yes
Texas,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,>10 Prohibited,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Utah,New Restrictions Imposed,Lifted,Lifted,-,No Limit,New Service Limits,New Service Limits,Required for General Public,Yes
Vermont,New Restrictions Imposed,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,All Gatherings Prohibited,New Service Limits,Closed,Required for General Public,Yes
Virginia,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>25 Prohibited,New Service Limits,Closed,Required for General Public,Yes
Washington,New Restrictions Imposed,Lifted,-,New Business Closures or Limits,All Gatherings Prohibited,Newly Closed to Indoor Dining,Closed,Required for General Public,Yes
West Virginia,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,>25 Prohibited,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Wisconsin,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,No Limit,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Wyoming,New Restrictions Imposed,-,Lifted,-,>10 Prohibited,New Service Limits,New Service Limits,Required for General Public,Yes
