Location,Race Categories Include Hispanic Individuals,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,Unknown Race % of Cases,Unknown Ethnicity% of Cases
Nevada,,0.18,0.49,0.05,0.09,0.2,0.29,0.04,0.08,<.01,0.01,NR,0.01,0.1,0.04,0.43,0.43
New Hampshire,,0.64,0.9,0.05,0.01,0.1,0.04,0.03,0.03,NR,NA,NR,NA,0.04,0.02,0.14,0.14
New Jersey,,0.22,0.55,0.1,0.13,0.18,0.21,0.03,0.1,NR,<.01,NR,NA,0.07,0.02,0.4,0.4
New Mexico,,0.13,0.37,0.02,0.02,0.37,0.49,0.01,0.02,0.41,0.09,NR,NA,NR,0.02,0.05,0.05
New York (Excludes New York City),,NR,0.74,NR,0.09,NR,0.12,NR,0.04,NR,NA,NR,NA,NR,0.01,NR,NR
New York City,,NR,0.32,NR,0.22,NR,0.29,NR,0.14,NR,NA,NR,NA,NR,0.03,NR,NR
North Carolina,Yes,0.38,0.68,0.16,0.21,0.28,0.1,0.01,0.03,0.01,0.01,<.01,<.01,0.11,0.06,0.32,0.35
North Dakota,,NR,0.84,NR,0.03,NR,0.04,NR,0.02,NR,0.05,NR,NA,NR,0.02,NR,NR
Ohio,Yes,0.47,0.81,0.26,0.12,0.07,0.04,0.03,0.02,<.01,<.01,<.01,NA,0.1,0.04,0.13,0.24
Oklahoma,Yes,0.56,0.72,0.07,0.07,NR,0.11,0.06,0.02,0.07,0.08,NR,<.01,0.04,0.11,0.19,NR
Oregon,Yes,0.41,0.84,0.04,0.02,0.38,0.13,0.03,0.05,0.02,0.01,0.03,<.01,0.35,0.08,0.12,0.13
Pennsylvania,Yes,0.32,0.8,0.14,0.11,0.08,0.08,0.01,0.04,NR,<.01,NR,<.01,0.01,0.05,0.52,0.7
Rhode Island,,0.29,0.72,0.1,0.06,0.36,0.16,NR,0.03,NR,NA,NR,NA,0.03,0.03,0.21,0.21
South Carolina,Yes,0.45,0.67,0.33,0.26,0.11,0.06,0.01,0.02,NR,<.01,NR,NA,0.09,0.04,0.12,0.35
South Dakota,,0.37,0.82,0.13,0.02,0.15,0.04,0.09,0.01,0.16,0.09,NR,NA,0.1,0.02,0,0
Tennessee,Yes,0.41,0.78,0.2,0.17,0.2,0.05,0.01,0.02,<.01,<.01,<.01,<.01,0.14,0.04,0.23,0.3
Texas,,0.25,0.41,0.12,0.12,0.41,0.4,0.02,0.05,NR,<.01,NR,<.01,0.01,0.02,0.2,0.2
Utah,,0.38,0.78,0.02,0.01,0.4,0.14,0.02,0.02,0.02,0.01,0.04,0.01,0.12,0.03,0.11,0.11
Vermont,Yes,0.8,0.94,0.11,0.01,0.03,0.02,0.04,0.02,<.01,<.01,NR,NA,0.02,0.02,0.03,0.25
Virginia,,0.22,0.62,0.16,0.19,0.31,0.1,0.03,0.07,<.01,<.01,NR,<.01,0.03,0.04,0.24,0.24
Washington,,0.24,0.68,0.04,0.04,0.29,0.13,0.04,0.09,0.01,0.01,0.02,0.01,0.03,0.05,0.33,0.33
West Virginia,Yes,0.79,0.93,0.07,0.04,NR,0.01,NR,0.01,NR,<.01,NR,NA,0.14,0.02,NR,NR
Wisconsin,Yes,0.6,0.85,0.16,0.06,0.26,0.07,0.03,0.03,0.01,0.01,NR,<.01,0.1,0.05,0.1,0.12
Wyoming,,0.58,0.84,0.01,<.01,0.16,0.1,0.01,0.01,0.21,0.02,<.01,NA,0.05,0.02,0.05,0.05
