Location,Race Categories Include Hispanic Individuals,White % of Cases,White % of Total Population,Black % of Cases,Black % of Total Population,Hispanic % of Cases,Hispanic % of Total Population,Asian % of Cases,Asian % of Total Population,American Indian or Alaska Native % of Cases,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Cases,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Cases,Other % of Total Population,Unknown Race % of Cases,Unknown Ethnicity% of Cases
New York (Excludes New York City),,NR,0.55,NR,0.14,NR,0.19,NR,0.09,NR,<.01,NR,NA,NR,0.03,NR,NR
New York City,,NR,0.32,NR,0.22,NR,0.29,NR,0.07,NR,NA,NR,NA,NR,NA,NR,NR
North Carolina,Yes,0.37,0.68,0.17,0.21,0.3,0.1,0.02,0.03,0.01,0.01,<.01,<.01,0.11,0.06,0.32,0.34
North Dakota,,NR,0.84,NR,0.03,NR,0.04,NR,0.02,NR,0.05,NR,NA,NR,0.02,NR,NR
Ohio,Yes,0.5,0.81,0.25,0.12,0.08,0.04,0.03,0.02,<.01,<.01,<.01,NA,0.12,0.04,0.1,0.21
Oklahoma,Yes,0.59,0.72,0.08,0.07,NR,0.11,0.07,0.02,0.07,0.08,NR,<.01,0.04,0.11,0.15,NR
Oregon,Yes,0.42,0.84,0.04,0.02,0.35,0.13,0.04,0.05,0.02,0.01,0.03,<.01,0.32,0.08,0.13,0.13
Pennsylvania,Yes,0.29,0.8,0.13,0.11,0.08,0.08,0.01,0.04,NR,<.01,NR,<.01,0.01,0.05,0.56,0.72
Rhode Island,,0.28,0.72,0.1,0.06,0.35,0.16,NR,0.03,NR,NA,NR,NA,0.05,0.03,0.22,NR
South Carolina,Yes,0.44,0.67,0.36,0.26,0.15,0.06,0.02,0.02,NR,<.01,NR,NA,0.1,0.04,0.09,0.22
South Dakota,,0.33,0.82,0.15,0.02,0.16,0.04,0.11,0.01,0.13,0.09,NR,NA,0.11,0.02,NR,NR
Tennessee,Yes,0.42,0.78,0.21,0.17,0.27,0.05,0.01,0.02,NR,<.01,NR,<.01,0.16,0.04,0.19,0.27
Texas,,0.27,0.41,0.12,0.12,0.35,0.4,0.03,0.05,NR,<.01,NR,<.01,0.01,0.02,0.23,NR
Utah,,0.34,0.78,0.03,0.01,0.43,0.14,0.02,0.02,0.03,0.01,0.04,0.01,0.12,0.03,0.12,NR
Vermont,Yes,0.83,0.94,0.09,0.01,0.02,0.02,0.05,0.02,<.01,<.01,NR,NA,0.01,0.02,0.03,<.01
Virginia,,0.21,0.62,0.14,0.19,0.34,0.1,0.03,0.07,<.01,<.01,NR,<.01,0.03,0.04,0.25,NR
Washington,,0.25,0.68,0.04,0.04,0.31,0.13,0.04,0.09,0.01,0.01,0.02,0.01,0.03,0.05,0.29,NR
West Virginia,Yes,0.79,0.93,0.07,0.04,NR,0.01,NR,0.01,NR,<.01,NR,NA,0.14,0.02,NR,NR
Wisconsin,Yes,0.54,0.85,0.18,0.06,0.32,0.07,0.04,0.03,0.01,0.01,NR,<.01,0.12,0.05,0.11,0.12
Wyoming,,0.51,0.84,0.01,<.01,0.13,0.1,0.01,0.01,0.3,0.02,<.01,NA,0.03,0.02,0.06,NR
