"Country","Date","Policy Category","Policy Type","Policy Value","Policy Value Description","Policy Value Description KFF","Income","Region"
"Syria",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","Eastern Mediterranean Region"
"Chad",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Chad",2020-01-01,"Health Policies","Vaccination policy",0,"No measures","No availability","Low income","African Region"
"Turkmenistan",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Upper middle income","European Region"
"Tonga",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Upper middle income","Western Pacific Region"
"Tonga",2020-01-01,"Health Policies","Facial Coverings",0,"No measures","No requirement","Upper middle income","Western Pacific Region"
"Tanzania",2020-01-01,"Closure Policies","Workplace closing",0,"No measures","No restrictions","Lower middle income","African Region"
"Tanzania",2020-01-01,"Closure Policies","Stay at home requirements",0,"No measures","No restriction","Lower middle income","African Region"
"Tanzania",2020-01-01,"Closure Policies","Restrictions on internal movement",0,"No measures","No restriction","Lower middle income","African Region"
"Tanzania",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","African Region"
"Tanzania",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","African Region"
"Tanzania",2020-01-01,"Health Policies","Vaccination policy",0,"No measures","No availability","Lower middle income","African Region"
"Uganda",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","African Region"
"Vanuatu",2020-01-01,"Health Policies","Facial Coverings",0,"No measures","No requirement","Lower middle income",NA
"Vanuatu",2020-01-01,"Health Policies","Vaccination policy",0,"No measures","No availability","Lower middle income",NA
"Yemen",2020-01-01,"Closure Policies","Restrictions on gatherings",0,"No measures","No restriction","Low income","Eastern Mediterranean Region"
"Yemen",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Low income","Eastern Mediterranean Region"
"Yemen",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Low income","Eastern Mediterranean Region"
"Zambia",2020-01-01,"Economic Policies","Income support",0,"No measures","No support","Lower middle income","African Region"
"Zimbabwe",2020-01-01,"Economic Policies","Debt contract relief",0,"No measures","No support","Lower middle income","African Region"
"Singapore",2020-01-23,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","Western Pacific Region"
"France",2020-02-29,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Cyprus",2020-03-01,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","European Region"
"Kuwait",2020-03-01,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","High income","Eastern Mediterranean Region"
"San Marino",2020-03-01,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","European Region"
"United States",2020-03-02,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","Region of the Americas"
"Iran",2020-03-05,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Upper middle income","Eastern Mediterranean Region"
"West Bank and Gaza",2020-03-05,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Lower middle income",NA
"Albania",2020-03-09,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","European Region"
"Austria",2020-03-09,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","European Region"
"Saudi Arabia",2020-03-09,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","High income","Eastern Mediterranean Region"
"Costa Rica",2020-03-10,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Region of the Americas"
"Germany",2020-03-10,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Spain",2020-03-10,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Iceland",2020-03-10,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","European Region"
"Kuwait",2020-03-10,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","Eastern Mediterranean Region"
"Portugal",2020-03-10,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","European Region"
"Russia",2020-03-10,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","European Region"
"Argentina",2020-03-11,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Region of the Americas"
"Jamaica",2020-03-11,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Region of the Americas"
"Sweden",2020-03-11,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Brazil",2020-03-12,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Region of the Americas"
"Canada",2020-03-12,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","Region of the Americas"
"Kazakhstan",2020-03-12,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","European Region"
"Panama",2020-03-12,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","High income","Region of the Americas"
"Peru",2020-03-12,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Region of the Americas"
"Ukraine",2020-03-12,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","European Region"
"Venezuela",2020-03-12,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Region of the Americas"
"Andorra",2020-03-13,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Ecuador",2020-03-13,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Region of the Americas"
"Honduras",2020-03-13,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Lower middle income","Region of the Americas"
"Honduras",2020-03-13,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","Region of the Americas"
"Malta",2020-03-13,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","European Region"
"Burma",2020-03-13,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","South-East Asia Region"
"Netherlands",2020-03-13,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","European Region"
"Panama",2020-03-13,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","Region of the Americas"
"Puerto Rico",2020-03-13,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income",NA
"Portugal",2020-03-13,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","European Region"
"Saudi Arabia",2020-03-13,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","Eastern Mediterranean Region"
"Azerbaijan",2020-03-14,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","European Region"
"Azerbaijan",2020-03-14,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","European Region"
"India",2020-03-14,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","South-East Asia Region"
"Libya",2020-03-14,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Eastern Mediterranean Region"
"Morocco",2020-03-14,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","Eastern Mediterranean Region"
"Canada",2020-03-15,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","Region of the Americas"
"Cyprus",2020-03-15,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Ecuador",2020-03-15,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Upper middle income","Region of the Americas"
"Faroe Islands",2020-03-15,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income",NA
"Philippines",2020-03-15,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","Western Pacific Region"
"United Arab Emirates",2020-03-16,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","Eastern Mediterranean Region"
"Austria",2020-03-16,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","European Region"
"Bangladesh",2020-03-16,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Lower middle income","South-East Asia Region"
"Belize",2020-03-16,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"Chile",2020-03-16,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","Region of the Americas"
"Cape Verde",2020-03-16,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","African Region"
"Finland",2020-03-16,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"France",2020-03-16,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Ghana",2020-03-16,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Lower middle income","African Region"
"Honduras",2020-03-16,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","Region of the Americas"
"Honduras",2020-03-16,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Lower middle income","Region of the Americas"
"Peru",2020-03-16,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"Puerto Rico",2020-03-16,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income",NA
"Ukraine",2020-03-16,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Lower middle income","European Region"
"Venezuela",2020-03-16,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Upper middle income","Region of the Americas"
"Brazil",2020-03-17,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Upper middle income","Region of the Americas"
"Colombia",2020-03-17,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Upper middle income","Region of the Americas"
"Algeria",2020-03-17,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Lower middle income","African Region"
"France",2020-03-17,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","European Region"
"Italy",2020-03-17,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","European Region"
"South Korea",2020-03-17,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","Western Pacific Region"
"Luxembourg",2020-03-17,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","European Region"
"Monaco",2020-03-17,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Netherlands",2020-03-17,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Canada",2020-03-18,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","High income","Region of the Americas"
"Canada",2020-03-18,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","Region of the Americas"
"Cameroon",2020-03-18,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Lower middle income","African Region"
"Malta",2020-03-18,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Rwanda",2020-03-18,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Low income","African Region"
"Slovakia",2020-03-18,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","European Region"
"Austria",2020-03-19,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Dominican Republic",2020-03-19,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Region of the Americas"
"Fiji",2020-03-19,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Upper middle income","Western Pacific Region"
"United Kingdom",2020-03-19,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","European Region"
"Kazakhstan",2020-03-19,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","European Region"
"Portugal",2020-03-19,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Portugal",2020-03-19,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","European Region"
"Sweden",2020-03-19,"Closure Policies","International travel controls",3,"Ban arrivals from some regions","Partial restriction","High income","European Region"
"Australia",2020-03-20,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","High income","Western Pacific Region"
"Canada",2020-03-20,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","High income","Region of the Americas"
"Costa Rica",2020-03-20,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Upper middle income","Region of the Americas"
"Cuba",2020-03-20,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Upper middle income","Region of the Americas"
"United Kingdom",2020-03-20,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Norway",2020-03-20,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"New Zealand",2020-03-20,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","High income","Western Pacific Region"
"Tonga",2020-03-20,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Upper middle income","Western Pacific Region"
"Tonga",2020-03-20,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Upper middle income","Western Pacific Region"
"Bangladesh",2020-03-21,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Lower middle income","South-East Asia Region"
"Gabon",2020-03-21,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Upper middle income","African Region"
"United Kingdom",2020-03-21,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","European Region"
"Iceland",2020-03-21,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Kiribati",2020-03-21,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Lower middle income","Western Pacific Region"
"Romania",2020-03-21,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Trinidad and Tobago",2020-03-21,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","High income","Region of the Americas"
"Tunisia",2020-03-21,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","Eastern Mediterranean Region"
"Egypt",2020-03-22,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Lower middle income","Eastern Mediterranean Region"
"Haiti",2020-03-22,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Low income","Region of the Americas"
"Libya",2020-03-22,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Upper middle income","Eastern Mediterranean Region"
"Libya",2020-03-22,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Upper middle income","Eastern Mediterranean Region"
"Venezuela",2020-03-22,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Upper middle income","Region of the Americas"
"Argentina",2020-03-23,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"Canada",2020-03-23,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","High income","Region of the Americas"
"Cuba",2020-03-23,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Upper middle income","Region of the Americas"
"Djibouti",2020-03-23,"Closure Policies","Restrictions on gatherings",4,"Restrictions on gatherings of 10 people or fewer","Full restriction","Lower middle income","Eastern Mediterranean Region"
"Eritrea",2020-03-23,"Closure Policies","Cancel public events",2,"Required cancelling of public events","Require cancelling","Low income","African Region"
"Mexico",2020-03-23,"Closure Policies","School closing",3,"Required closing on all levels","Full closing","Upper middle income","Region of the Americas"
"Solomon Islands",2020-03-23,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","Lower middle income","Western Pacific Region"
"Seychelles",2020-03-23,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","African Region"
"Trinidad and Tobago",2020-03-23,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","High income","Region of the Americas"
"Ireland",2020-03-24,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Oman",2020-03-24,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","Eastern Mediterranean Region"
"Chile",2020-03-25,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","High income","Region of the Americas"
"Mali",2020-03-25,"Closure Policies","Restrictions on gatherings",3,"Restrictions on gatherings between 11-100 people","Partial restriction","Low income","African Region"
"Poland",2020-03-25,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","European Region"
"Sweden",2020-03-25,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","High income","European Region"
"Turkmenistan",2020-03-25,"Closure Policies","School closing",1,"Recommended closing or all schools open with alterations resulting in significant operational changes","Partial closing","Upper middle income","European Region"
"Ukraine",2020-03-25,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Lower middle income","European Region"
"U.S. Virgin Islands",2020-03-25,"Closure Policies","Cancel public events",1,"Recommended cancelling of public events","Recommend cancelling","High income",NA
"Guyana",2020-03-26,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Upper middle income","Region of the Americas"
"Vanuatu",2020-03-26,"Closure Policies","International travel controls",4,"Ban arrivals from all regions/Border closure","Full restriction","Lower middle income",NA
"Cape Verde",2020-03-27,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","African Region"
"Fiji",2020-03-27,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Western Pacific Region"
"United States",2020-03-27,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","High income","Region of the Americas"
"Qatar",2020-03-28,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","Eastern Mediterranean Region"
"Bosnia and Herzegovina",2020-03-29,"Health Policies","Facial Coverings",3,"Required facial covering in all public settings","Recommended/Partial requirement","Upper middle income","European Region"
"Jordan",2020-03-29,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Eastern Mediterranean Region"
"Nigeria",2020-03-29,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Lower middle income","African Region"
"Slovakia",2020-03-29,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","European Region"
"Guinea",2020-03-30,"Closure Policies","Stay at home requirements",2,"Required not leaving house with exceptions","Require not leaving house with exceptions","Low income","African Region"
"South Korea",2020-03-30,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","Western Pacific Region"
"Mexico",2020-03-30,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Upper middle income","Region of the Americas"
"Kosovo",2020-03-30,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income",NA
"Bolivia",2020-03-31,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Lower middle income","Region of the Americas"
"Spain",2020-03-31,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","European Region"
"Paraguay",2020-03-31,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"Serbia",2020-03-31,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Upper middle income","European Region"
"United Arab Emirates",2020-04-01,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","High income","Eastern Mediterranean Region"
"Bahrain",2020-04-01,"Economic Policies","Income support",2,"Government is replacing 50% or more of lost income","Broad support","High income","Eastern Mediterranean Region"
"Belarus",2020-04-01,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Upper middle income","European Region"
"Barbados",2020-04-01,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","Region of the Americas"
"Costa Rica",2020-04-01,"Closure Policies","Stay at home requirements",1,"Recommended not leaving house","Recommend not leaving house","Upper middle income","Region of the Americas"
"Ecuador",2020-04-01,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","Upper middle income","Region of the Americas"
"Eritrea",2020-04-01,"Closure Policies","Restrictions on internal movement",2,"Internal movement restrictions in place","Internal movement restrictions in place","Low income","African Region"
"Indonesia",2020-04-01,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Upper middle income","South-East Asia Region"
"Jamaica",2020-04-01,"Economic Policies","Debt contract relief",1,"Narrow relief","Narrow support","Upper middle income","Region of the Americas"
"Kuwait",2020-04-01,"Economic Policies","Income support",1,"Government is replacing less than 50% of lost income","Some support","High income","Eastern Mediterranean Region"
"Malaysia",2020-04-01,"Economic Policies","Debt contract relief",2,"Broad debt/contract relief","Broad support","Upper middle income","Western Pacific Region"
