Location,Race Categories Include Hispanic Individuals,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Asian % of Deaths,Asian % of Total Population,American Indian or Alaska Native % of Deaths,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Deaths,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Deaths,Other % of Total Population,Unknown Race % of Deaths,Unknown Ethnicity % of Deaths
Kentucky,Yes,0.76,0.87,0.16,0.08,0.03,0.04,0.02,0.01,NR,<.01,NR,NA,0.02,0.03,0.05,0.09
Louisiana,Yes,0.43,0.62,0.54,0.32,0.02,0.05,0.01,0.02,<.01,0.01,<.01,NA,0.01,0.04,0.01,0.13
Maine,Yes,0.86,0.95,0.01,0.01,0,0.01,NR,0.01,NR,<.01,NR,NA,0.01,0.02,0.12,0.2
Maryland,,0.42,0.5,0.42,0.29,0.1,0.1,0.04,0.06,NR,<.01,NR,NA,0.01,0.03,0.02,0.02
Massachusetts,,0.73,0.71,0.08,0.07,0.07,0.12,0.03,0.07,NR,<.01,NR,NA,0.07,0.03,0.02,0.02
Michigan,Yes,0.51,0.78,0.4,0.14,0.02,0.05,0.01,0.03,<.01,0.01,NR,<.01,0.03,0.04,0.04,0.16
Minnesota,Yes,0.6,0.83,0.06,0.07,0.03,0.05,0.03,0.05,0.01,0.01,<.01,NA,0.01,0.05,0.28,0.32
Mississippi,,0.42,0.57,0.51,0.38,0.02,0.03,0,0.01,0.04,<.01,NR,NA,<.01,0.01,<.01,0.05
Missouri,Yes,0.58,0.82,0.35,0.11,0.02,0.04,NR,0.02,NR,<.01,NR,<.01,0.03,0.04,0.03,0.12
Montana,,NR,0.86,NR,<.01,NR,0.04,NR,0.01,NR,0.06,NR,NA,NR,0.03,NR,NR
Nebraska,,NR,0.79,NR,0.04,NR,0.11,NR,0.02,NR,0.01,NR,NA,NR,0.03,NR,NR
Nevada,,0.47,0.49,0.13,0.09,0.16,0.29,0.15,0.08,0.01,0.01,NR,0.01,NR,0.04,0.09,0.09
New Hampshire,,0.57,0.9,0.02,0.01,0.03,0.04,0.01,0.03,NR,NA,NR,NA,0.05,0.02,0.33,0.33
New Jersey,,0.48,0.55,0.17,0.13,0.17,0.21,0.05,0.1,NR,<.01,NR,NA,0.03,0.02,0.1,0.1
New Mexico,,NR,0.37,NR,0.02,NR,0.49,NR,0.02,NR,0.09,NR,NA,NR,0.02,NR,NR
New York (Excludes New York City),,0.6,0.55,0.18,0.14,0.14,0.19,0.04,0.09,NR,<.01,NR,NA,0.04,0.03,0,0
New York City,,0.17,0.32,0.18,0.22,0.21,0.29,0.04,0.14,NR,NA,NR,NA,0.03,0.03,0.37,0.37
North Carolina,Yes,0.59,0.68,0.33,0.21,0.07,0.1,0.01,0.03,0.01,0.01,<.01,<.01,0.04,0.06,0.02,0.03
North Dakota,,NR,0.84,NR,0.03,NR,0.04,NR,0.02,NR,0.05,NR,NA,NR,0.02,NR,NR
Ohio,Yes,0.78,0.81,0.18,0.12,0.02,0.04,0.01,0.02,NR,<.01,NR,NA,0.02,0.04,0.01,0.03
Oklahoma,Yes,0.77,0.72,0.08,0.07,NR,0.11,0.01,0.02,0.07,0.08,NR,<.01,0.02,0.11,0.05,NR
Oregon,Yes,0.76,0.84,0.04,0.02,0.11,0.13,0.04,0.05,0.02,0.01,0.01,<.01,0.08,0.08,0.05,0.08
Pennsylvania,Yes,0.72,0.8,0.21,0.11,0.06,0.08,0.02,0.04,NR,<.01,NR,<.01,0.05,0.05,0,0
Rhode Island,,0.7,0.72,0.05,0.06,0.1,0.16,NR,0.03,NR,NA,NR,NA,0.01,0.03,0.14,0.14
South Carolina,Yes,0.43,0.67,0.49,0.26,0.02,0.06,0.01,0.02,NR,<.01,NR,NA,0.01,0.04,0.06,0.13
South Dakota,,NR,0.82,NR,0.02,NR,0.04,NR,0.01,NR,0.09,NR,NA,NR,0.02,NR,NR
Tennessee,Yes,0.55,0.78,0.34,0.17,0.08,0.05,0.02,0.02,NR,<.01,NR,<.01,0.05,0.04,0.04,0.07
Texas,,0.41,0.41,0.13,0.12,0.26,0.4,0.02,0.05,NR,<.01,NR,<.01,0.01,0.02,0.18,0.18
Utah,,NR,0.78,NR,0.01,NR,0.14,NR,0.02,NR,0.01,NR,0.01,NR,0.03,NR,NR
Vermont,Yes,0.95,0.94,NR,0.01,0,0.02,0.04,0.02,NR,<.01,NR,NA,0.02,0.02,0,0
Virginia,Yes,0.56,0.68,0.2,0.19,0.1,0.1,NR,0.07,NR,<.01,NR,<.01,0.12,0.06,0.12,0.18
Washington,,0.67,0.68,0.03,0.04,0.1,0.13,0.09,0.09,0.01,0.01,0.01,0.01,0.03,0.05,0.05,0.05
West Virginia,Yes,0.69,0.93,0.04,0.04,NR,0.01,NR,0.01,NR,<.01,NR,NA,NR,0.02,0.27,NR
Wisconsin,Yes,0.68,0.85,0.25,0.06,0.11,0.07,0.03,0.03,0.01,0.01,NR,<.01,0.01,0.05,0.02,0.02
Wyoming,,0.47,0.84,0,<.01,0.06,0.1,0,0.01,0.47,0.02,NR,NA,0,0.02,0.06,0.06
