Location,Race Categories Include Hispanic Individuals,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Asian % of Deaths,Asian % of Total Population,American Indian or Alaska Native % of Deaths,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Deaths,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Deaths,Other % of Total Population,Unknown Race % of Deaths,Unknown Ethnicity % of Deaths
New Hampshire,,0.93,0.9,0.02,0.01,0.03,0.04,0.01,0.03,NR,NA,NR,NA,<.01,0.02,<.01,<.01
New Jersey,,0.42,0.55,0.15,0.13,0.15,0.21,0.04,0.1,NR,<.01,NR,NA,0.03,0.02,0.2,0.2
New Mexico,,NR,0.37,NR,0.02,NR,0.49,NR,0.02,NR,0.09,NR,NA,NR,0.02,NR,NR
New York (Excludes New York City),,0.6,0.74,0.17,0.09,0.14,0.12,0.04,0.04,NR,NA,NR,NA,0.04,0.01,0.01,0.01
New York City,,0.26,0.32,0.29,0.22,0.3,0.29,0.08,0.14,NR,NA,NR,NA,NR,0.03,0.08,0.08
North Carolina,Yes,0.56,0.68,0.32,0.21,0.1,0.1,0.02,0.03,0.01,0.01,<.01,<.01,0.06,0.06,0.03,0.07
North Dakota,,NR,0.84,NR,0.03,NR,0.04,NR,0.02,NR,0.05,NR,NA,NR,0.02,NR,NR
Ohio,Yes,0.76,0.81,0.19,0.12,0.02,0.04,0.01,0.02,<.01,<.01,<.01,NA,0.02,0.04,0.02,0.03
Oklahoma,Yes,0.75,0.72,0.07,0.07,NR,0.11,0.02,0.02,0.08,0.08,NR,<.01,0.02,0.11,0.05,NR
Oregon,Yes,0.74,0.84,0.02,0.02,0.12,0.13,0.04,0.05,0.01,0.01,0.02,<.01,0.09,0.08,0.07,0.09
Pennsylvania,Yes,0.72,0.8,0.21,0.11,0.06,0.08,0.02,0.04,NR,<.01,NR,<.01,0.05,0.05,<.01,<.01
Rhode Island,,0.66,0.72,0.05,0.06,0.09,0.16,NR,0.03,NR,NA,NR,NA,0.01,0.03,0.18,0.18
South Carolina,Yes,0.49,0.67,0.42,0.26,0.04,0.06,0.01,0.02,NR,<.01,NR,NA,0.03,0.04,0.05,0.12
South Dakota,,NR,0.82,NR,0.02,NR,0.04,NR,0.01,NR,0.09,NR,NA,NR,0.02,NR,NR
Tennessee,Yes,0.56,0.78,0.36,0.17,0.09,0.05,0.02,0.02,0,<.01,<.01,<.01,0.06,0.04,<.01,0.01
Texas,,0.43,0.41,0.13,0.12,0.29,0.4,0.02,0.05,NR,<.01,NR,<.01,<.01,0.02,0.12,0.12
Utah,,0.5,0.78,0.01,0.01,0.24,0.14,0.05,0.02,0.09,0.01,0.05,0.01,0.08,0.03,0.05,0.05
Vermont,Yes,0.95,0.94,NR,0.01,0,0.02,0.04,0.02,NR,<.01,NR,NA,0.02,0.02,NR,0
Virginia,,0.54,0.62,0.24,0.19,0.11,0.1,0.06,0.07,<.01,<.01,NR,<.01,0.01,0.04,0.04,0.04
Washington,,0.64,0.68,0.03,0.04,0.13,0.13,0.08,0.09,0.02,0.01,0.01,0.01,0.03,0.05,0.04,0.04
West Virginia,Yes,NR,0.93,NR,0.04,NR,0.01,NR,0.01,NR,<.01,NR,NA,NR,0.02,NR,NR
Wisconsin,Yes,0.7,0.85,0.23,0.06,0.12,0.07,0.03,0.03,0.01,0.01,NR,<.01,0.01,0.05,0.02,0.01
Wyoming,,0.46,0.84,0,<.01,0.08,0.1,0,0.01,0.42,0.02,NR,NA,0,0.02,0.04,0.04
