Location,Race Categories Include Hispanic Individuals,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Asian % of Deaths,Asian % of Total Population,American Indian or Alaska Native % of Deaths,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Deaths,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Deaths,Other % of Total Population,Unknown Race % of Deaths,Unknown Ethnicity % of Deaths,Footnotes
Oregon,Yes,0.65,0.84,0.02,0.02,0.13,0.13,0.04,0.05,0.02,0.01,0.01,<.01,0.12,0.08,0.14,0.19,
Pennsylvania,Yes,0.72,0.8,0.21,0.11,0.06,0.08,0.02,0.04,NR,<.01,NR,<.01,0.05,0.05,0,0,
Rhode Island,,0.66,0.72,0.05,0.06,0.1,0.16,0.01,0.03,<.01,NA,0,NA,0,0.03,0.18,0.18,
South Carolina,Yes,0.48,0.67,0.35,0.26,0.04,0.06,0.01,0.02,NR,<.01,NR,NA,0.03,0.04,0.14,0.15,
South Dakota,,0.62,0.82,0.01,0.02,0.03,0.04,0.03,0.01,0.23,0.09,NR,NA,0.08,0.02,0,0,
Tennessee,Yes,0.65,0.78,0.28,0.17,0.06,0.05,0.01,0.02,<.01,<.01,<.01,<.01,0.05,0.04,0.01,0.01,
Texas,,0.3,0.41,0.11,0.12,0.56,0.4,0.02,0.05,NR,<.01,NR,<.01,0.01,0.02,<.01,<.01,
Utah,,0.52,0.78,0.02,0.01,0.22,0.14,0.05,0.02,0.08,0.01,0.05,0.01,0.08,0.03,0.05,0.05,4
Vermont,Yes,0.95,0.94,NR,0.01,0,0.02,0.03,0.02,NR,<.01,NR,NA,0.02,0.02,0,0,5
Virginia,,0.54,0.62,0.26,0.19,0.1,0.1,0.05,0.07,<.01,<.01,NR,<.01,0.02,0.04,0.04,0.04,
Washington,,0.67,0.68,0.03,0.04,0.14,0.13,0.07,0.09,0.03,0.01,0.02,0.01,0.03,0.05,0.01,0.01,
West Virginia,Yes,NR,0.93,NR,0.04,NR,0.01,NR,0.01,NR,<.01,NR,NA,NR,0.02,NR,NR,
Wisconsin,Yes,0.74,0.85,0.19,0.06,0.12,0.07,0.03,0.03,0.01,0.01,NR,<.01,0.02,0.05,0.02,0.02,
Wyoming,,0.4,0.84,0.02,<.01,0.05,0.1,0,0.01,0.36,0.02,NR,NA,0,0.02,0.17,0.17,4
