Location,Race Categories Include Hispanic Individuals,White % of Deaths,White % of Total Population,Black % of Deaths,Black % of Total Population,Hispanic % of Deaths,Hispanic % of Total Population,Asian % of Deaths,Asian % of Total Population,American Indian or Alaska Native % of Deaths,American Indian or Alaska Native % of Total Population,Native Hawaiian or Other Pacific Islander % of Deaths,Native Hawaiian or Other Pacific Islander % of Total Population,Other % of Deaths,Other % of Total Population,Unknown Race % of Deaths,Unknown Ethnicity % of Deaths,Footnotes
Michigan,Yes,0.52,0.78,0.39,0.14,0.02,0.05,0.01,0.03,<.01,0.01,NR,<.01,0.03,0.04,0.03,0.15,
Minnesota,Yes,0.8,0.83,0.1,0.07,0.05,0.05,0.05,0.05,0.02,0.01,<.01,NA,0.03,0.05,0.01,0.01,
Mississippi,,0.42,0.57,0.5,0.38,0.01,0.03,<.01,0.01,0.05,<.01,NR,NA,0.01,0.01,0.01,0.1,
Missouri,Yes,0.59,0.82,0.33,0.11,0.03,0.04,NR,0.02,NR,<.01,NR,<.01,0.04,0.04,0.03,0.12,
Montana,Yes,0.49,0.89,NR,<.01,NR,0.04,NR,0.01,0.23,0.06,NR,NA,NR,0.04,0.28,NR,
Nebraska,Yes,0.77,0.86,0.07,0.04,0.23,0.11,0.05,0.02,0.03,0.01,0,NA,0.04,0.06,0.04,0.11,
Nevada,,0.38,0.49,0.09,0.09,0.14,0.29,0.11,0.08,<.01,0.01,NR,0.01,0.01,0.04,0.26,0.26,
New Hampshire,,0.93,0.9,0.02,0.01,0.03,0.04,0.01,0.03,NR,NA,NR,NA,<.01,0.02,0.01,0.01,
New Jersey,,0.53,0.55,0.18,0.13,0.2,0.21,0.05,0.1,NR,<.01,NR,NA,0.02,0.02,0.02,0.02,
New Mexico,,NR,0.37,NR,0.02,NR,0.49,NR,0.02,NR,0.09,NR,NA,NR,0.02,NR,NR,
New York (Excludes New York City),,0.6,0.74,0.17,0.09,0.14,0.12,0.04,0.04,NR,NA,NR,NA,0.04,0.01,0.01,0.01,
New York City,,0.25,0.32,0.28,0.22,0.3,0.29,0.08,0.14,NR,NA,NR,NA,NR,0.03,0.08,0.08,1
North Carolina,Yes,0.56,0.68,0.3,0.21,0.1,0.1,0.01,0.03,0.01,0.01,<.01,<.01,0.07,0.06,0.04,0.08,
North Dakota,,NR,0.84,NR,0.03,NR,0.04,NR,0.02,NR,0.05,NR,NA,NR,0.02,NR,NR,
Ohio,Yes,0.76,0.81,0.19,0.12,0.02,0.04,0.01,0.02,<.01,<.01,<.01,NA,0.02,0.04,0.02,0.04,
Oklahoma,Yes,0.73,0.72,0.06,0.07,0.05,0.11,0.02,0.02,0.09,0.08,NR,<.01,0.03,0.11,0.05,0.09,
Oregon,Yes,0.68,0.84,0.02,0.02,0.13,0.13,0.04,0.05,0.02,0.01,0.02,<.01,0.1,0.08,0.11,0.15,
Pennsylvania,Yes,0.72,0.8,0.21,0.11,0.06,0.08,0.02,0.04,NR,<.01,NR,<.01,0.05,0.05,<.01,<.01,
Rhode Island,,0.66,0.72,0.05,0.06,0.09,0.16,NR,0.03,NR,NA,NR,NA,0.01,0.03,0.18,0.18,
South Carolina,Yes,0.5,0.67,0.4,0.26,0.04,0.06,0.01,0.02,NR,<.01,NR,NA,0.03,0.04,0.06,0.14,
South Dakota,,NR,0.82,NR,0.02,NR,0.04,NR,0.01,NR,0.09,NR,NA,NR,0.02,NR,NR,
Tennessee,Yes,0.57,0.78,0.33,0.17,0.09,0.05,0.01,0.02,<.01,<.01,<.01,<.01,0.06,0.04,0.02,0.02,
Texas,,0.33,0.41,0.13,0.12,0.5,0.4,0.02,0.05,NR,<.01,NR,<.01,0.01,0.02,<.01,<.01,
Utah,,0.52,0.78,0.02,0.01,0.23,0.14,0.05,0.02,0.09,0.01,0.05,0.01,0.07,0.03,0.05,0.05,2
Vermont,Yes,0.95,0.94,NR,0.01,0,0.02,0.04,0.02,NR,<.01,NR,NA,0.02,0.02,0,0,3
Virginia,,0.54,0.62,0.24,0.19,0.11,0.1,0.06,0.07,<.01,<.01,NR,<.01,0.01,0.04,0.03,0.03,
Washington,,0.66,0.68,0.03,0.04,0.13,0.13,0.08,0.09,0.02,0.01,0.02,0.01,0.03,0.05,0.03,0.03,
West Virginia,Yes,NR,0.93,NR,0.04,NR,0.01,NR,0.01,NR,<.01,NR,NA,NR,0.02,NR,NR,
Wisconsin,Yes,0.71,0.85,0.22,0.06,0.12,0.07,0.03,0.03,0.01,0.01,NR,<.01,0.02,0.05,0.02,0.02,
Wyoming,,0.46,0.84,0,<.01,0.08,0.1,0,0.01,0.42,0.02,NR,NA,0,0.02,0.04,0.04,2
